Figure Panel,Bar,"Correlation Ratio
Data Set 1","Correlation Ratio
Data Set 2","Correlation Ratio
Data Set 3","Correlation Ratio
Data Set 4","Correlation Ratio
Data Set 5"
,"MPP-GWAS
(Aux: EUR, Tar: SAS)",0.7118,0.7132,0.7401,0.7454,0.6962
,"MPP-GWAS-TarSS
(Aux: EUR, Tar: SAS)",0.6449,0.6503,0.6550,0.6441,0.6909
,"MPP-PRS
(Aux: EUR, Tar: SAS)",0.7024,0.6759,0.6006,0.7245,0.6773
,"MPP-PRS+
(Aux: EUR, Tar: SAS)",0.7027,0.7116,0.7558,0.7135,0.7108
,"PRS-CSx
(Aux: EUR+EAS, Tar: SAS)",0.5991,0.5950,0.6111,0.6065,0.5792
,"PROSPER
(Aux: EUR+EAS, Tar: SAS)",0.6757,0.6747,0.6990,0.7174,0.6598
,"SBayesRC-Multi
(Aux: EUR+EAS, Tar: SAS)",0.5884,0.5296,0.5341,0.5512,0.6335
,"MPP-GWAS
(Aux: EUR+EAS, Tar: SAS)",0.7105,0.7223,0.7486,0.7678,0.7003
,"MPP-GWAS-TarSS
(Aux: EUR+EAS, Tar: SAS)",0.6372,0.6521,0.6568,0.6511,0.6910
,"MPP-PRS
(Aux: EUR+EAS, Tar: SAS)",0.7072,0.6782,0.6007,0.7309,0.6767
,"MPP-PRS+
(Aux: EUR+EAS, Tar: SAS)",0.7274,0.7253,0.7571,0.7288,0.7199
,"MPP-GWAS-Admix
(Aux: EUR+EAS, Tar: SAS)",0.7153,0.7174,0.7453,0.7623,0.6975
,"PRS-CSx
(Aux: EUR+EAS+AMR, Tar: SAS)",0.5932,0.5881,0.6035,0.6036,0.5750
,"PROSPER
(Aux: EUR+EAS+AMR, Tar: SAS)",0.6892,0.7113,0.7206,0.7433,0.6987
,"SBayesRC-Multi
(Aux: EUR+EAS+AMR, Tar: SAS)",0.6059,0.5613,0.5644,0.5742,0.6353
,"MPP-GWAS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.7167,0.7277,0.7576,0.7730,0.7117
,"MPP-GWAS-TarSS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.6402,0.6520,0.6562,0.6497,0.6921
