,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
"Supplementary Figure 4a
HAPNEST
FIRST 8K SNPs
#Aux: 10K
#Tar: 250
h2: 0.7",EurOnly,0.2666,0.0782,0.6495,0.0639,--,--,0.5132,0.0414,0.5005,0.0686,0.3079,0.0237,0.2213,0.0303,0.1528,0.0604,0.1113,0.0625,0.3236,0.0274,0.1422,0.0281
,EurEas,0.2672,0.0732,0.7243,0.0705,0.5682,0.0623,0.5760,0.0360,0.5899,0.0593,0.3079,0.0237,0.2255,0.0253,0.1995,0.0778,0.1113,0.0625,0.3236,0.0274,--,--
,EurEasAmr,0.2627,0.0747,0.7525,0.0708,0.6013,0.0567,0.5997,0.0439,0.6393,0.0526,0.3079,0.0237,0.2111,0.0329,0.2294,0.0774,0.1113,0.0625,0.3236,0.0274,--,--
,EurEasAmrAfr,0.2634,0.0752,0.7793,0.0601,0.6102,0.0537,0.6114,0.0408,0.6616,0.0380,0.3079,0.0237,0.2102,0.0324,0.2530,0.0569,0.1113,0.0625,0.3236,0.0274,--,--
"Supplementary Figure 4b
HAPNEST
FIRST 8K SNPs
#Aux: 10K
#Tar: 1000
h2: 0.7",EurOnly,0.3760,0.0167,0.7002,0.0178,--,--,0.5678,0.0323,0.6635,0.0232,0.5356,0.0324,0.4214,0.0210,0.3589,0.0339,0.3062,0.0385,0.6060,0.0182,0.3145,0.0409
,EurEas,0.3779,0.0197,0.7316,0.0109,0.6884,0.0238,0.6209,0.0176,0.6955,0.0229,0.5356,0.0324,0.4192,0.0209,0.3897,0.0305,0.3062,0.0385,0.6060,0.0182,--,--
,EurEasAmr,0.3799,0.0194,0.7497,0.0113,0.6948,0.0220,0.6347,0.0169,0.7113,0.0181,0.5356,0.0324,0.4170,0.0196,0.4160,0.0235,0.3062,0.0385,0.6060,0.0182,--,--
,EurEasAmrAfr,0.3812,0.0198,0.7568,0.0106,0.6992,0.0219,0.6445,0.0190,0.7227,0.0134,0.5356,0.0324,0.4148,0.0210,0.4349,0.0306,0.3062,0.0385,0.6060,0.0182,--,--
"Supplementary Figure 4c
HAPNEST
RANDOM 8K SNPs
#Aux: 10K
#Tar: 250
h2: 0.7",EurOnly,0.3729,0.0168,0.6547,0.0580,--,--,0.5227,0.0402,0.5079,0.0340,0.2490,0.0472,0.2433,0.0528,0.2349,0.0251,0.1436,0.0195,0.2791,0.0663,0.0851,0.0733
,EurEas,0.3603,0.0084,0.7351,0.0320,0.5592,0.0183,0.5687,0.0343,0.5740,0.0142,0.2490,0.0472,0.2329,0.0602,0.2581,0.0408,0.1436,0.0195,0.2791,0.0663,--,--
,EurEasAmr,0.3833,0.0330,0.7602,0.0362,0.5807,0.0276,0.5970,0.0278,0.6009,0.0356,0.2490,0.0472,0.2190,0.0607,0.2859,0.0190,0.1436,0.0195,0.2791,0.0663,--,--
,EurEasAmrAfr,0.3912,0.0267,0.7843,0.0361,0.5911,0.0269,0.6109,0.0348,0.6348,0.0366,0.2490,0.0472,0.2113,0.0580,0.3427,0.0198,0.1436,0.0195,0.2791,0.0663,--,--
"Supplementary Figure 4d
HAPNEST
RANDOM 8K SNPs
#Aux: 10K
#Tar: 1000
h2: 0.7",EurOnly,0.4890,0.0555,0.6819,0.0207,--,--,0.5553,0.0479,0.6280,0.0311,0.4865,0.0436,0.4420,0.0180,0.4066,0.0317,0.3375,0.0335,0.5408,0.0160,0.2212,0.0737
,EurEas,0.4994,0.0603,0.7062,0.0160,0.6630,0.0263,0.5908,0.0402,0.6614,0.0262,0.4865,0.0436,0.4315,0.0150,0.4360,0.0325,0.3375,0.0335,0.5408,0.0160,--,--
,EurEasAmr,0.5005,0.0607,0.7261,0.0112,0.6710,0.0238,0.6194,0.0359,0.6855,0.0217,0.4865,0.0436,0.4241,0.0175,0.4677,0.0273,0.3375,0.0335,0.5408,0.0160,--,--
,EurEasAmrAfr,0.5126,0.0597,0.7355,0.0127,0.6765,0.0242,0.6369,0.0379,0.7064,0.0214,0.4865,0.0436,0.4187,0.0184,0.4971,0.0336,0.3375,0.0335,0.5408,0.0160,--,--
