MPP-GWAS,"With Nesterov Smoothing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Without Nesterov Smoothing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",MPP-GWAS,"With Nesterov Smoothing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Without Nesterov Smoothing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.7457,0.7477,0.8008,0.7629,SET 1.1.1,0.6073,0.6432,0.6515,0.6652,,SET 1.2.1,0.5660,0.5300,0.4893,0.5110,SET 1.2.1,0.5462,0.5356,0.4485,0.4603
,SET 1.1.2,0.7395,0.7722,0.7689,0.7709,SET 1.1.2,0.6650,0.6455,0.6549,0.6772,,SET 1.2.2,0.6815,0.7332,0.7037,0.7340,SET 1.2.2,0.4458,0.6847,0.6027,0.6570
,SET 1.1.3,0.7710,0.7594,0.7653,0.7775,SET 1.1.3,0.5955,0.6313,0.6339,0.6447,,SET 1.2.3,0.4459,0.4310,0.4454,0.4750,SET 1.2.3,0.4000,0.4601,0.4051,0.4736
,SET 1.1.4,0.7289,0.7571,0.7784,0.7886,SET 1.1.4,0.6199,0.6532,0.6654,0.6845,,SET 1.2.4,0.6755,0.7192,0.6928,0.6942,SET 1.2.4,0.5896,0.6401,0.6270,0.6493
,SET 1.1.5,0.7593,0.7779,0.7904,0.7889,SET 1.1.5,0.6095,0.6255,0.6386,0.6371,,SET 1.2.5,0.6704,0.7379,0.7339,0.7467,SET 1.2.5,0.6199,0.7167,0.7253,0.7269
,AVERAGE,0.7489,0.7629,0.7807,0.7777,AVERAGE,0.6195,0.6397,0.6488,0.6617,,AVERAGE,0.6078,0.6302,0.6130,0.6322,AVERAGE,0.5203,0.6074,0.5617,0.5934
,STD DEV,0.0166,0.0121,0.0148,0.0113,STD DEV,0.0269,0.0112,0.0127,0.0204,,STD DEV,0.1023,0.1413,0.1347,0.1291,STD DEV,0.0941,0.1070,0.1323,0.1194
,,,,,,,,,,,,,,,,,,,,,
"MPP-GWAS-
TarSS","With Nesterov Smoothing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Without Nesterov Smoothing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","MPP-GWAS-
TarSS","With Nesterov Smoothing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Without Nesterov Smoothing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.5849,0.5952,0.6019,0.6300,SET 1.1.1,0.6176,0.6249,0.6203,0.6411,,SET 1.2.1,0.4970,0.4343,0.4000,0.4145,SET 1.2.1,0.5366,0.4520,0.4552,0.4653
,SET 1.1.2,0.6470,0.6426,0.6507,0.6498,SET 1.1.2,0.6540,0.6473,0.6536,0.6547,,SET 1.2.2,0.5051,0.5907,0.5446,0.5700,SET 1.2.2,0.5262,0.6068,0.5713,0.5956
,SET 1.1.3,0.6492,0.6152,0.6164,0.6336,SET 1.1.3,0.6568,0.6574,0.6524,0.6309,,SET 1.2.3,0.3805,0.4040,0.4145,0.4256,SET 1.2.3,0.4023,0.4302,0.4267,0.4447
