"MPP-GWAS
,,,,,,,,,,,,,,,,,,,,
Baseline GWAS,"Simple Baseline GWAS
#Tar: 1000",0 AUX,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.1,0.5937,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.2,0.6217,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.3,0.6339,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.4,0.5920,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.5,0.6028,--,--,--,,,,,,,,,,,,,,,
,AVERAGE,0.6088,--,--,--,,,,,,,,,,,,,,,
,STD DEV,0.0183,--,--,--,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Lassosum-
ExtLD","Lassosum2
#Tar: 1000",0 AUX,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.1,0.5499,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.2,0.5184,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.3,0.6240,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.4,0.5882,--,--,--,,,,,,,,,,,,,,,
,SET 1.1.5,0.5918,--,--,--,,,,,,,,,,,,,,,
,AVERAGE,0.5744,--,--,--,,,,,,,,,,,,,,,
,STD DEV,0.0409,--,--,--,,,,,,,,,,,,,,,
