,SET 1.1.1,0.5424,0.5554,0.5530,0.5535,SET 1.2.1,0.5566,0.5583,0.5579,0.5591,,SET 2.1.1,0.4905,0.5055,0.5084,0.5148,SET 2.2.1,0.6137,0.6143,0.6140,0.6146
,SET 1.1.2,0.5403,0.5384,0.5387,0.5401,SET 1.2.2,0.5695,0.5695,0.5695,0.5696,,SET 2.1.2,0.5010,0.5190,0.5043,0.4896,SET 2.2.2,0.6078,0.6001,0.5949,0.5954
,SET 1.1.3,0.5084,0.5126,0.5161,0.5184,SET 1.2.3,0.6229,0.6235,0.6244,0.6245,,SET 2.1.3,0.6780,0.6495,0.6054,0.5732,SET 2.2.3,0.6412,0.6407,0.6410,0.6391
,SET 1.1.4,0.5265,0.5273,0.5288,0.5298,SET 1.2.4,0.6208,0.6236,0.6237,0.6238,,SET 2.1.4,0.4817,0.2944,0.2915,0.4646,SET 2.2.4,0.5679,0.5748,0.5768,0.5664
,SET 1.1.5,0.5407,0.5607,0.5621,0.5640,SET 1.2.5,0.5784,0.5801,0.5800,0.5805,,SET 2.1.5,0.1005,0.1117,0.1338,0.1418,SET 2.2.5,0.6205,0.6139,0.6097,0.6077
,AVERAGE,0.5317,0.5389,0.5398,0.5412,AVERAGE,0.5897,0.5910,0.5911,0.5915,,AVERAGE,0.4503,0.4160,0.4087,0.4368,AVERAGE,0.6102,0.6088,0.6073,0.6047
,STD DEV,0.0145,0.0198,0.0184,0.0182,STD DEV,0.0304,0.0307,0.0311,0.0307,,STD DEV,0.2118,0.2124,0.1918,0.1698,STD DEV,0.0268,0.0240,0.0238,0.0266
,"Equal Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Equal Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",,"Equal Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Equal Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.5424,0.5775,0.5354,0.5236,SET 1.2.1,0.5566,0.5582,0.5600,0.5682,,SET 2.1.1,0.4905,0.4830,0.5402,0.5386,SET 2.2.1,0.6141,0.6230,0.6245,0.6235
,SET 1.1.2,0.5403,0.4771,0.4612,0.4682,SET 1.2.2,0.5695,0.5692,0.5694,0.5694,,SET 2.1.2,0.5009,0.4919,0.3921,0.3664,SET 2.2.2,0.6078,0.6007,0.5992,0.5997
