,SET 1.1.4,0.3205,0.3343,0.4052,0.3700,SET 2.1.4,0.4077,0.5260,0.5263,0.5499,SET 3.1.4,0.6863,0.7571,0.7450,0.7493
,SET 1.1.5,0.2785,0.2730,0.3533,0.2687,SET 2.1.5,0.6086,0.7020,0.6834,0.6906,SET 3.1.5,0.5840,0.5855,0.6585,0.6465
,AVERAGE,0.3397,0.3372,0.3834,0.3827,AVERAGE,0.4120,0.4842,0.4944,0.5008,AVERAGE,0.5208,0.5721,0.5728,0.5883
,STD DEV,0.0820,0.0879,0.0730,0.0888,STD DEV,0.1256,0.1619,0.1340,0.1401,STD DEV,0.1188,0.1210,0.1350,0.1307
,"CORR: 0.3
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.2.1,0.5442,0.5471,0.5463,0.5477,SET 2.2.1,0.5020,0.5584,0.5700,0.5774,SET 3.2.1,0.6139,0.6148,0.6169,0.6039
,SET 1.2.2,0.6011,0.6176,0.6134,0.6072,SET 2.2.2,0.6271,0.6269,0.6288,0.6259,SET 3.2.2,0.5401,0.5439,0.5387,0.5410
,SET 1.2.3,0.5192,0.5212,0.5203,0.5202,SET 2.2.3,0.5795,0.5790,0.5790,0.5788,SET 3.2.3,0.5950,0.5941,0.5942,0.5949
,SET 1.2.4,0.6246,0.6106,0.6190,0.6243,SET 2.2.4,0.6409,0.6521,0.6564,0.7098,SET 3.2.4,0.6372,0.6479,0.6453,0.6443
,SET 1.2.5,0.5469,0.5485,0.5479,0.5495,SET 2.2.5,0.5651,0.5728,0.5730,0.5743,SET 3.2.5,0.6535,0.6652,0.6618,0.6690
,AVERAGE,0.5672,0.5690,0.5694,0.5698,AVERAGE,0.5829,0.5979,0.6014,0.6132,AVERAGE,0.6079,0.6132,0.6114,0.6106
,STD DEV,0.0438,0.0427,0.0442,0.0440,STD DEV,0.0552,0.0398,0.0390,0.0581,STD DEV,0.0440,0.0476,0.0482,0.0492
,,,,,,,,,,,,,,,
"MPP-GWAS-
Admix","CORR: 0.3
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,--,0.3498,0.4284,0.4323,SET 2.1.1,--,0.4301,0.4549,0.4590,SET 3.1.1,--,0.6035,0.5999,0.6281
,SET 1.1.2,--,0.3948,0.4151,0.4389,SET 2.1.2,--,0.4812,0.5127,0.5204,SET 3.1.2,--,0.4545,0.4672,0.4587
,SET 1.1.3,--,0.2691,0.3281,0.3484,SET 2.1.3,--,0.2662,0.3156,0.3136,SET 3.1.3,--,0.5118,0.5201,0.5453
,SET 1.1.4,--,0.2494,0.3650,0.3659,SET 2.1.4,--,0.5152,0.5621,0.5719,SET 3.1.4,--,0.6821,0.7246,0.7318
,SET 1.1.5,--,0.2688,0.3980,0.3482,SET 2.1.5,--,0.6897,0.6886,0.6998,SET 3.1.5,--,0.6599,0.7030,0.6997
,AVERAGE,--,0.3064,0.3869,0.3868,AVERAGE,--,0.4765,0.5068,0.5130,AVERAGE,--,0.5824,0.6030,0.6127
,STD DEV,--,0.0627,0.0405,0.0452,STD DEV,--,0.1527,0.1373,0.1424,STD DEV,--,0.0971,0.1119,0.1121
,"CORR: 0.3
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.2.1,--,0.4997,0.5229,0.5317,SET 2.2.1,--,0.5850,0.5942,0.6090,SET 3.2.1,--,0.7009,0.7156,0.7215
,SET 1.2.2,--,0.5148,0.5325,0.5437,SET 2.2.2,--,0.6080,0.6271,0.6369,SET 3.2.2,--,0.7001,0.7030,0.7119
,SET 1.2.3,--,0.5167,0.5406,0.5521,SET 2.2.3,--,0.6526,0.6689,0.6764,SET 3.2.3,--,0.6781,0.6925,0.7023
,SET 1.2.4,--,0.5330,0.5567,0.5675,SET 2.2.4,--,0.6350,0.6521,0.6650,SET 3.2.4,--,0.6887,0.7000,0.7101
,SET 1.2.5,--,0.4439,0.4559,0.4775,SET 2.2.5,--,0.5689,0.5834,0.5949,SET 3.2.5,--,0.6917,0.7001,0.7075
,AVERAGE,--,0.5016,0.5217,0.5345,AVERAGE,--,0.6099,0.6251,0.6364,AVERAGE,--,0.6919,0.7022,0.7106
,STD DEV,--,0.0343,0.0388,0.0344,STD DEV,--,0.0345,0.0365,0.0350,STD DEV,--,0.0094,0.0084,0.0070
,,,,,,,,,,,,,,,
MPP-PRS,"CORR: 0.3
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.3940,0.4201,0.3970,0.3884,SET 2.1.1,0.3603,0.4915,0.4538,0.4225,SET 3.1.1,0.7875,0.7796,0.7572,0.8275
,SET 1.1.2,0.3452,0.3966,0.3726,0.3839,SET 2.1.2,0.3424,0.3801,0.3871,0.4088,SET 3.1.2,0.2434,0.3546,0.3580,0.3401
,SET 1.1.3,0.1311,0.1322,0.2250,0.2354,SET 2.1.3,0.2825,0.3075,0.3063,0.3150,SET 3.1.3,0.6463,0.6811,0.7257,0.7487
,SET 1.1.4,0.1601,0.0784,0.1755,0.1710,SET 2.1.4,0.4004,0.4009,0.4201,0.4622,SET 3.1.4,0.6479,0.7571,0.7192,0.7126
,SET 1.1.5,0.2168,0.1884,0.2090,0.2058,SET 2.1.5,0.5958,0.5977,0.5571,0.6017,SET 3.1.5,0.7247,0.6938,0.7102,0.6921
,AVERAGE,0.2495,0.2432,0.2758,0.2769,AVERAGE,0.3963,0.4355,0.4249,0.4420,AVERAGE,0.6100,0.6532,0.6541,0.6642
,STD DEV,0.1152,0.1560,0.1014,0.1023,STD DEV,0.1193,0.1119,0.0920,0.1043,STD DEV,0.2132,0.1720,0.1665,0.1884
,"CORR: 0.3
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.2.1,0.4729,0.4854,0.4890,0.4882,SET 2.2.1,0.7437,0.7528,0.7508,0.7513,SET 3.2.1,0.7166,0.7296,0.7263,0.7238
,SET 1.2.2,0.3619,0.3687,0.3664,0.3655,SET 2.2.2,0.7600,0.7351,0.7441,0.7390,SET 3.2.2,0.7329,0.7422,0.7369,0.7484
,SET 1.2.3,0.5939,0.5976,0.6028,0.6014,SET 2.2.3,0.7349,0.7431,0.7408,0.7385,SET 3.2.3,0.7217,0.7160,0.7415,0.7418
,SET 1.2.4,0.6767,0.6803,0.6809,0.6792,SET 2.2.4,0.7501,0.7517,0.7525,0.7587,SET 3.2.4,0.7812,0.7787,0.7733,0.7615
,SET 1.2.5,0.6869,0.6888,0.6881,0.6894,SET 2.2.5,0.7032,0.7252,0.7285,0.7315,SET 3.2.5,0.7619,0.7754,0.7831,0.7764
,AVERAGE,0.5585,0.5642,0.5654,0.5647,AVERAGE,0.7384,0.7416,0.7433,0.7438,AVERAGE,0.7429,0.7484,0.7522,0.7504
,STD DEV,0.1394,0.1365,0.1372,0.1374,STD DEV,0.0217,0.0116,0.0096,0.0110,STD DEV,0.0277,0.0278,0.0246,0.0199
,,,,,,,,,,,,,,,
MPP-PRS+,"CORR: 0.3
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.3389,0.4561,0.5385,0.5550,SET 2.1.1,0.5766,0.5876,0.5945,0.6378,SET 3.1.1,0.8752,0.9760,0.9681,0.9907
,SET 1.1.2,0.5838,0.6188,0.5790,0.6708,SET 2.1.2,0.6198,0.6864,0.7086,0.7986,SET 3.1.2,0.6683,0.6854,0.7477,0.7504
,SET 1.1.3,0.4798,0.4675,0.4142,0.5407,SET 2.1.3,0.4913,0.5359,0.5724,0.6067,SET 3.1.3,0.6916,0.7913,0.8284,0.8586
,SET 1.1.4,0.3308,0.3501,0.4483,0.4965,SET 2.1.4,0.5476,0.6632,0.6968,0.7398,SET 3.1.4,0.7602,0.8744,0.8794,0.9037
,SET 1.1.5,0.4379,0.5420,0.5525,0.5679,SET 2.1.5,0.7551,0.7770,0.7744,0.8161,SET 3.1.5,0.6699,0.7650,0.8084,0.8007
,AVERAGE,0.4342,0.4869,0.5065,0.5662,AVERAGE,0.5980,0.6500,0.6694,0.7198,AVERAGE,0.7330,0.8184,0.8464,0.8608
,STD DEV,0.1052,0.1006,0.0712,0.0644,STD DEV,0.0994,0.0929,0.0842,0.0940,STD DEV,0.0878,0.1109,0.0828,0.0929
,"CORR: 0.3
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.2.1,0.7128,0.7513,0.7589,0.7601,SET 2.2.1,0.7622,0.7923,0.8091,0.8168,SET 3.2.1,0.8224,0.8613,0.8749,0.8880
,SET 1.2.2,0.6798,0.7233,0.7410,0.7506,SET 2.2.2,0.7680,0.7861,0.8146,0.8146,SET 3.2.2,0.8334,0.8777,0.8902,0.8906
,SET 1.2.3,0.6575,0.7169,0.7303,0.7360,SET 2.2.3,0.7845,0.8102,0.8226,0.8255,SET 3.2.3,0.8225,0.8629,0.8783,0.8799
,SET 1.2.4,0.6986,0.7128,0.7367,0.7478,SET 2.2.4,0.7971,0.8240,0.8320,0.8374,SET 3.2.4,0.8418,0.8770,0.8895,0.8986
,SET 1.2.5,0.6693,0.7129,0.7254,0.7409,SET 2.2.5,0.7669,0.7692,0.7936,0.8030,SET 3.2.5,0.8261,0.8573,0.8789,0.8909
,AVERAGE,0.6836,0.7234,0.7385,0.7471,AVERAGE,0.7757,0.7964,0.8144,0.8195,AVERAGE,0.8292,0.8673,0.8824,0.8896
,STD DEV,0.0223,0.0161,0.0129,0.0093,STD DEV,0.0146,0.0213,0.0145,0.0128,STD DEV,0.0083,0.0095,0.0070,0.0067
,,,,,,,,,,,,,,,
"Lassosum-
TrueLD","CORR: 0.3
h2: 0.7
Tar=100",0 AUX,--,--,--,"CORR: 0.6
h2: 0.7
Tar=100",0 AUX,--,--,--,"CORR: 0.8
h2: 0.7
Tar=100",0 AUX,--,--,--
,SET 1.1.1,0.3926,--,--,--,SET 2.1.1,0.3559,--,--,--,SET 3.1.1,0.4535,--,--,--
,SET 1.1.2,0.3796,--,--,--,SET 2.1.2,0.3748,--,--,--,SET 3.1.2,0.3682,--,--,--
,SET 1.1.3,0.3661,--,--,--,SET 2.1.3,0.2753,--,--,--,SET 3.1.3,0.3420,--,--,--
,SET 1.1.4,0.1561,--,--,--,SET 2.1.4,0.2093,--,--,--,SET 3.1.4,0.4470,--,--,--
,SET 1.1.5,0.2888,--,--,--,SET 2.1.5,0.2499,--,--,--,SET 3.1.5,0.3628,--,--,--
,AVERAGE,0.3166,--,--,--,AVERAGE,0.2930,--,--,--,AVERAGE,0.3947,--,--,--
,STD DEV,0.0984,--,--,--,STD DEV,0.0704,--,--,--,STD DEV,0.0517,--,--,--
,"CORR: 0.3
h2: 0.7
Tar: 1000",0 AUX,--,--,--,"CORR: 0.6
h2: 0.7
Tar: 1000",0 AUX,--,--,--,"CORR: 0.8
h2: 0.7
Tar: 1000",0 AUX,--,--,--
,SET 1.2.1,0.7490,--,--,--,SET 2.2.1,0.7418,--,--,--,SET 3.2.1,0.7622,--,--,--
,SET 1.2.2,0.7568,--,--,--,SET 2.2.2,0.7367,--,--,--,SET 3.2.2,0.7144,--,--,--
,SET 1.2.3,0.7281,--,--,--,SET 2.2.3,0.7381,--,--,--,SET 3.2.3,0.6825,--,--,--
,SET 1.2.4,0.7206,--,--,--,SET 2.2.4,0.7594,--,--,--,SET 3.2.4,0.7614,--,--,--
,SET 1.2.5,0.7077,--,--,--,SET 2.2.5,0.7260,--,--,--,SET 3.2.5,0.7599,--,--,--
,AVERAGE,0.7324,--,--,--,AVERAGE,0.7404,--,--,--,AVERAGE,0.7361,--,--,--
,STD DEV,0.0202,--,--,--,STD DEV,0.0121,--,--,--,STD DEV,0.0362,--,--,--
,,,,,,,,,,,,,,,
Baseline GWAS,"CORR: 0.3
h2: 0.7
Tar=100",0 AUX,--,--,--,"CORR: 0.6
h2: 0.7
Tar=100",0 AUX,--,--,--,"CORR: 0.8
h2: 0.7
Tar=100",0 AUX,--,--,--
,SET 1.1.1,0.3710,--,--,--,SET 2.1.1,0.3617,--,--,--,SET 3.1.1,0.4802,--,--,--
,SET 1.1.2,0.4106,--,--,--,SET 2.1.2,0.3426,--,--,--,SET 3.1.2,0.4034,--,--,--
,SET 1.1.3,0.3319,--,--,--,SET 2.1.3,0.3069,--,--,--,SET 3.1.3,0.3649,--,--,--
,SET 1.1.4,0.0514,--,--,--,SET 2.1.4,0.1205,--,--,--,SET 3.1.4,0.4464,--,--,--
,SET 1.1.5,0.2817,--,--,--,SET 2.1.5,0.2510,--,--,--,SET 3.1.5,0.3755,--,--,--
,AVERAGE,0.2893,--,--,--,AVERAGE,0.2766,--,--,--,AVERAGE,0.4141,--,--,--
,STD DEV,0.1413,--,--,--,STD DEV,0.0969,--,--,--,STD DEV,0.0486,--,--,--
,"CORR: 0.3
h2: 0.7
Tar: 1000",0 AUX,--,--,--,"CORR: 0.6
h2: 0.7
Tar: 1000",0 AUX,--,--,--,"CORR: 0.8
h2: 0.7
Tar: 1000",0 AUX,--,--,--
,SET 1.2.1,0.5607,--,--,--,SET 2.2.1,0.5709,--,--,--,SET 3.2.1,0.6236,--,--,--
,SET 1.2.2,0.6296,--,--,--,SET 2.2.2,0.6215,--,--,--,SET 3.2.2,0.5819,--,--,--
,SET 1.2.3,0.5413,--,--,--,SET 2.2.3,0.5886,--,--,--,SET 3.2.3,0.6150,--,--,--
,SET 1.2.4,0.6439,--,--,--,SET 2.2.4,0.6485,--,--,--,SET 3.2.4,0.6466,--,--,--
,SET 1.2.5,0.5828,--,--,--,SET 2.2.5,0.5825,--,--,--,SET 3.2.5,0.6306,--,--,--
,AVERAGE,0.5917,--,--,--,AVERAGE,0.6024,--,--,--,AVERAGE,0.6195,--,--,--
,STD DEV,0.0440,--,--,--,STD DEV,0.0319,--,--,--,STD DEV,0.0240,--,--,--
,,,,,,,,,,,,,,,
"Lassosum-
ExtLD","CORR: 0.3
h2: 0.7
Tar=100",0 AUX,--,--,--,"CORR: 0.6
h2: 0.7
Tar=100",0 AUX,--,--,--,"CORR: 0.8
h2: 0.7
Tar=100",0 AUX,--,--,--
,SET 1.1.1,0.1430,--,--,--,SET 2.1.1,0.2577,--,--,--,SET 3.1.1,0.4052,--,--,--
,SET 1.1.2,0.2743,--,--,--,SET 2.1.2,0.4225,--,--,--,SET 3.1.2,0.2303,--,--,--
,SET 1.1.3,0.1723,--,--,--,SET 2.1.3,0.1775,--,--,--,SET 3.1.3,0.1753,--,--,--
,SET 1.1.4,0.1350,--,--,--,SET 2.1.4,0.0871,--,--,--,SET 3.1.4,0.1853,--,--,--
,SET 1.1.5,0.2755,--,--,--,SET 2.1.5,0.1229,--,--,--,SET 3.1.5,0.2852,--,--,--
,AVERAGE,0.2000,--,--,--,AVERAGE,0.2135,--,--,--,AVERAGE,0.2562,--,--,--
,STD DEV,0.0698,--,--,--,STD DEV,0.1333,--,--,--,STD DEV,0.0939,--,--,--
,"CORR: 0.3
h2: 0.7
Tar: 1000",0 AUX,--,--,--,"CORR: 0.6
h2: 0.7
Tar: 1000",0 AUX,--,--,--,"CORR: 0.8
h2: 0.7
Tar: 1000",0 AUX,--,--,--
,SET 1.2.1,0.5519,--,--,--,SET 2.2.1,0.5852,--,--,--,SET 3.2.1,0.5841,--,--,--
,SET 1.2.2,0.6330,--,--,--,SET 2.2.2,0.5502,--,--,--,SET 3.2.2,0.5902,--,--,--
,SET 1.2.3,0.5824,--,--,--,SET 2.2.3,0.5859,--,--,--,SET 3.2.3,0.5506,--,--,--
,SET 1.2.4,0.6024,--,--,--,SET 2.2.4,0.5835,--,--,--,SET 3.2.4,0.6028,--,--,--
,SET 1.2.5,0.4823,--,--,--,SET 2.2.5,0.6091,--,--,--,SET 3.2.5,0.5959,--,--,--
,AVERAGE,0.5704,--,--,--,AVERAGE,0.5828,--,--,--,AVERAGE,0.5847,--,--,--
,STD DEV,0.0574,--,--,--,STD DEV,0.0210,--,--,--,STD DEV,0.0203,--,--,--
,,,,,,,,,,,,,,,
PROSPER,"CORR: 0.3
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.1663,0.2026,0.2864,0.2634,SET 2.1.1,0.3304,0.3459,0.4381,0.3684,SET 3.1.1,0.4229,0.4805,0.4723,0.4947
,SET 1.1.2,0.3195,0.3428,0.2883,0.3104,SET 2.1.2,0.4826,0.4842,0.4833,0.5368,SET 3.1.2,0.3534,0.3565,0.4452,0.4816
,SET 1.1.3,0.2018,0.2507,0.2451,0.0838,SET 2.1.3,0.2075,0.2361,0.2302,0.2294,SET 3.1.3,0.1730,0.2037,0.3974,0.4161
,SET 1.1.4,0.1598,0.1019,0.1557,0.2394,SET 2.1.4,0.1492,0.1743,0.2304,0.2220,SET 3.1.4,0.3303,0.2461,0.4751,0.4843
,SET 1.1.5,0.2288,0.1619,0.2210,0.2552,SET 2.1.5,0.1980,0.1984,0.2234,0.2007,SET 3.1.5,0.4191,0.4243,0.5114,0.5467
,AVERAGE,0.2152,0.2120,0.2393,0.2304,AVERAGE,0.2736,0.2878,0.3211,0.3115,AVERAGE,0.3397,0.3422,0.4603,0.4847
,STD DEV,0.0646,0.0913,0.0547,0.0861,STD DEV,0.1346,0.1280,0.1285,0.1423,STD DEV,0.1016,0.1167,0.0423,0.0465
,"CORR: 0.3
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.2.1,0.5827,0.6050,0.6253,0.6283,SET 2.2.1,0.6274,0.6593,0.6828,0.6965,SET 3.2.1,0.6705,0.7056,0.7423,0.7586
,SET 1.2.2,0.6574,0.6660,0.6734,0.6691,SET 2.2.2,0.6412,0.6615,0.6971,0.7127,SET 3.2.2,0.6491,0.6835,0.6943,0.7263
,SET 1.2.3,0.5985,0.6366,0.6374,0.6605,SET 2.2.3,0.6414,0.6729,0.6710,0.6822,SET 3.2.3,0.6349,0.6629,0.6890,0.7060
,SET 1.2.4,0.6381,0.6438,0.6751,0.6848,SET 2.2.4,0.6364,0.6762,0.6911,0.7068,SET 3.2.4,0.6887,0.7339,0.7463,0.7731
,SET 1.2.5,0.5380,0.5574,0.5702,0.5855,SET 2.2.5,0.6372,0.6672,0.6894,0.7070,SET 3.2.5,0.6955,0.7299,0.7644,0.7803
,AVERAGE,0.6029,0.6218,0.6363,0.6456,AVERAGE,0.6367,0.6674,0.6863,0.7010,AVERAGE,0.6678,0.7031,0.7273,0.7488
,STD DEV,0.0470,0.0421,0.0429,0.0394,STD DEV,0.0057,0.0072,0.0099,0.0120,STD DEV,0.0257,0.0303,0.0336,0.0317
,,,,,,,,,,,,,,,
PRS-CSx,"CORR: 0.3
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.2356,0.2238,0.2236,0.2283,SET 2.1.1,0.3179,0.3014,0.2924,0.2926,SET 3.1.1,0.4287,0.4140,0.4032,0.4034
,SET 1.1.2,0.2650,0.2646,0.2531,0.2644,SET 2.1.2,0.4281,0.4189,0.4138,0.4075,SET 3.1.2,0.2916,0.2786,0.2621,0.2626
,SET 1.1.3,0.2002,0.1741,0.1743,0.1768,SET 2.1.3,0.1920,0.1973,0.2004,0.1970,SET 3.1.3,0.2233,0.2085,0.1925,0.1954
,SET 1.1.4,0.1460,0.1455,0.1426,0.1473,SET 2.1.4,0.1107,0.1191,0.1017,0.1097,SET 3.1.4,0.2758,0.2540,0.2417,0.2410
,SET 1.1.5,0.3113,0.3188,0.3137,0.3190,SET 2.1.5,0.1986,0.1928,0.1849,0.1727,SET 3.1.5,0.3780,0.3604,0.3465,0.3522
,AVERAGE,0.2316,0.2253,0.2215,0.2272,AVERAGE,0.2495,0.2459,0.2386,0.2359,AVERAGE,0.3195,0.3031,0.2892,0.2909
,STD DEV,0.0629,0.0694,0.0670,0.0684,STD DEV,0.1242,0.1165,0.1190,0.1163,STD DEV,0.0826,0.0830,0.0846,0.0849
,"CORR: 0.3
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
