MPP-GWAS,"CORR: 0.3
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.2877,0.3869,0.4633,0.4999,SET 2.1.1,0.3973,0.4379,0.4870,0.4661,SET 3.1.1,0.5715,0.6084,0.5993,0.6542
,SET 1.1.2,0.3050,0.4354,0.4310,0.4773,SET 2.1.2,0.4211,0.5124,0.5373,0.5595,SET 3.1.2,0.4477,0.4409,0.4622,0.4450
,SET 1.1.3,0.2876,0.2355,0.3117,0.3683,SET 2.1.3,0.2112,0.2911,0.3329,0.3457,SET 3.1.3,0.4071,0.5723,0.5513,0.5775
,SET 1.1.4,0.2465,0.1973,0.3208,0.3592,SET 2.1.4,0.4204,0.5591,0.5701,0.5939,SET 3.1.4,0.5999,0.7119,0.7289,0.7339
,SET 1.1.5,0.1991,0.2984,0.4384,0.3507,SET 2.1.5,0.6503,0.6924,0.6835,0.7098,SET 3.1.5,0.6399,0.6455,0.6947,0.6889
,AVERAGE,0.2652,0.3107,0.3931,0.4111,AVERAGE,0.4201,0.4986,0.5222,0.5350,AVERAGE,0.5332,0.5958,0.6073,0.6199
,STD DEV,0.0427,0.1000,0.0712,0.0715,STD DEV,0.1558,0.1485,0.1281,0.1371,STD DEV,0.1006,0.1008,0.1080,0.1133
,"CORR: 0.3
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.2.1,0.4455,0.5299,0.5720,0.5937,SET 2.2.1,0.5314,0.6076,0.6096,0.6418,SET 3.2.1,0.6803,0.6858,0.7215,0.7337
,SET 1.2.2,0.4484,0.5462,0.5755,0.5960,SET 2.2.2,0.5455,0.6492,0.6618,0.6794,SET 3.2.2,0.6582,0.7130,0.7268,0.7454
,SET 1.2.3,0.4601,0.5413,0.5846,0.6064,SET 2.2.3,0.6019,0.6831,0.7073,0.7213,SET 3.2.3,0.6239,0.6979,0.7193,0.7421
,SET 1.2.4,0.4989,0.5356,0.5792,0.6110,SET 2.2.4,0.5776,0.6592,0.6881,0.7106,SET 3.2.4,0.6466,0.7121,0.7260,0.7466
,SET 1.2.5,0.3756,0.4911,0.5059,0.5483,SET 2.2.5,0.5244,0.5947,0.6169,0.6376,SET 3.2.5,0.6500,0.7112,0.7131,0.7257
,AVERAGE,0.4457,0.5288,0.5634,0.5911,AVERAGE,0.5562,0.6388,0.6568,0.6781,AVERAGE,0.6518,0.7040,0.7213,0.7387
,STD DEV,0.0446,0.0220,0.0325,0.0250,STD DEV,0.0327,0.0367,0.0429,0.0384,STD DEV,0.0204,0.0119,0.0056,0.0088
,,,,,,,,,,,,,,,
"MPP-GWAS-
TarSS","CORR: 0.3
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.6
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","CORR: 0.8
h2: 0.7
Tar=100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.4196,0.3704,0.4244,0.4674,SET 2.1.1,0.3861,0.3898,0.3833,0.3815,SET 3.1.1,0.5085,0.5850,0.5782,0.6389
,SET 1.1.2,0.4305,0.4661,0.4612,0.4756,SET 2.1.2,0.3992,0.5303,0.5307,0.5374,SET 3.1.2,0.4399,0.4376,0.4659,0.4598
,SET 1.1.3,0.2494,0.2419,0.2729,0.3320,SET 2.1.3,0.2586,0.2728,0.3482,0.3443,SET 3.1.3,0.3853,0.4952,0.4165,0.4472
