Figure Panel,Bar,"Correlation Ratio
Data Set 1","Correlation Ratio
Data Set 2","Correlation Ratio
Data Set 3","Correlation Ratio
Data Set 4","Correlation Ratio
Data Set 5"
Main Text Figure 5a,"Baseline GWAS
(Aux: NA, Tar: SAS)",0.3153,0.3505,0.2430,0.1656,0.2944
,"Lassosum2-ExtLD
(Aux: NA, Tar: SAS)",0.2519,0.2965,0.1867,0.0880,0.1147
,"Lassosum-TrueLD
(Aux: NA, Tar: SAS)",0.3010,0.3444,0.2579,0.1864,0.2902
,"SBayesRC(O)
(Aux: NA, Tar: SAS)",-0.1507,-0.0659,-0.1174,-0.0350,-0.0925
,"TL-Multi
(Aux: EUR, Tar; SAS)",-0.1150,-0.1545,0.0048,0.0126,0.1480
,"PRS-CSx
(Aux: EUR, Tar: SAS)",0.2635,0.3156,0.2026,0.0990,0.2228
,"PROSPER
(Aux: EUR, Tar: SAS)",0.3510,0.3903,0.2790,0.1717,0.1651
,"SBayesRC-Multi
(Aux: EUR, Tar: SAS)",0.2175,-0.0839,0.1239,0.0971,0.1439
,"MPP-GWAS
(Aux: EUR, Tar: SAS)",0.5734,0.5336,0.5253,0.5657,0.5459
,"MPP-GWAS-TarSS
(Aux: EUR, Tar: SAS)",0.4609,0.5158,0.4336,0.5032,0.4528
,"MPP-PRS
(Aux: EUR, Tar: SAS)",0.4962,0.4256,0.2267,0.4226,0.3619
,"MPP-PRS+
(Aux: EUR, Tar: SAS)",0.6868,0.6690,0.6359,0.6316,0.6846
,"PRS-CSx
(Aux: EUR+EAS, Tar: SAS)",0.2363,0.3158,0.2090,0.1056,0.2088
,"PROSPER
(Aux: EUR+EAS, Tar: SAS)",0.2874,0.3656,0.3116,0.1282,0.1981
,"SBayesRC-Multi
(Aux: EUR+EAS, Tar: SAS)",0.2263,-0.0490,0.1181,0.0969,0.1439
,"MPP-GWAS
(Aux: EUR+EAS, Tar: SAS)",0.5367,0.6424,0.5531,0.5515,0.5928
,"MPP-GWAS-TarSS
(Aux: EUR+EAS, Tar: SAS)",0.4239,0.6320,0.4637,0.5151,0.4524
,"MPP-PRS
(Aux: EUR+EAS, Tar: SAS)",0.4360,0.3743,0.1944,0.4373,0.3129
,"MPP-PRS+
(Aux: EUR+EAS, Tar: SAS)",0.6276,0.6755,0.6057,0.5822,0.6628
,"MPP-GWAS-Admix
(Aux: EUR+EAS, Tar: SAS)",0.5965,0.6396,0.5671,0.5755,0.6105
,"PRS-CSx
(Aux: EUR+EAS+AFR, Tar: SAS)",0.2407,0.3250,0.2093,0.1000,0.1929
,"PROSPER
(Aux: EUR+EAS+AFR, Tar: SAS)",0.2743,0.3679,0.3325,0.1584,0.1895
,"SBayesRC-Multi
(Aux: EUR+EAS+AFR, Tar: SAS)",0.2071,0.0895,0.1150,0.0402,0.1929
,"MPP-GWAS
(Aux: EUR+EAS+AFR, Tar: SAS)",0.5768,0.6804,0.6025,0.6165,0.5987
,"MPP-GWAS-TarSS
(Aux: EUR+EAS+AFR, Tar: SAS)",0.4903,0.6535,0.5104,0.5487,0.5127
,"MPP-PRS
(Aux: EUR+EAS+AFR, Tar: SAS)",0.3955,0.3469,0.2098,0.4394,0.3541
,"MPP-PRS+
(Aux: EUR+EAS+AFR, Tar: SAS)",0.6261,0.6717,0.6251,0.5976,0.6581
,"MPP-GWAS-Admix
(Aux: EUR+EAS+AFR, Tar: SAS)",0.6076,0.6498,0.5916,0.5916,0.6289
Main Text Figure 5b,"Baseline GWAS
(Aux: NA, Tar: SAS)",0.5420,0.5080,0.4881,0.4773,0.5189
,"Lassosum2-ExtLD
(Aux: NA, Tar: SAS)",0.4725,0.4697,0.4358,0.4303,0.4274
,"Lassosum-TrueLD
(Aux: NA, Tar: SAS)",0.6038,0.6147,0.5484,0.5453,0.5652
,"SBayesRC(O)
(Aux: NA, Tar: SAS)",-0.1779,-0.0833,-0.1135,-0.1408,-0.1634
,"TL-Multi
(Aux: EUR, Tar; SAS)",0.0133,0.0595,0.1253,0.0124,-0.0013
,"PRS-CSx
(Aux: EUR, Tar: SAS)",0.4896,0.4558,0.4341,0.4285,0.4056
,"PROSPER
(Aux: EUR, Tar: SAS)",0.5046,0.5206,0.5192,0.4918,0.5002
,"SBayesRC-Multi
(Aux: EUR, Tar: SAS)",0.2145,0.1449,0.1133,0.1913,0.1675
,"MPP-GWAS
(Aux: EUR, Tar: SAS)",0.6080,0.6322,0.6564,0.6324,0.5859
,"MPP-GWAS-TarSS
(Aux: EUR, Tar: SAS)",0.5195,0.5257,0.5631,0.5048,0.5774
,"MPP-PRS
(Aux: EUR, Tar: SAS)",0.4245,0.5351,0.4921,0.4497,0.4217
,"MPP-PRS+
(Aux: EUR, Tar: SAS)",0.7212,0.7573,0.7392,0.6823,0.6843
,"PRS-CSx
(Aux: EUR+EAS, Tar: SAS)",0.4885,0.4527,0.4339,0.4257,0.4071
,"PROSPER
(Aux: EUR+EAS, Tar: SAS)",0.5556,0.5381,0.5363,0.5005,0.5334
,"SBayesRC-Multi
(Aux: EUR+EAS, Tar: SAS)",0.2130,0.1498,0.1061,0.2007,0.1919
,"MPP-GWAS
(Aux: EUR+EAS, Tar: SAS)",0.5908,0.6511,0.6437,0.6012,0.6176
,"MPP-GWAS-TarSS
(Aux: EUR+EAS, Tar: SAS)",0.5157,0.5675,0.5790,0.5409,0.5961
,"MPP-PRS
(Aux: EUR+EAS, Tar: SAS)",0.4445,0.5181,0.4752,0.4144,0.4037
,"MPP-PRS+
(Aux: EUR+EAS, Tar: SAS)",0.5780,0.7358,0.5578,0.6540,0.6589
,"MPP-GWAS-Admix
(Aux: EUR+EAS, Tar: SAS)",0.6205,0.6681,0.6850,0.6412,0.6282
,"PRS-CSx
(Aux: EUR+EAS+AFR, Tar: SAS)",0.4892,0.4539,0.4250,0.4175,0.3993
