,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
"Aux
500",EurOnly,0.6287170412,0.06058089065,0.6860708117,0.03500290385,--,--,0.6176327343,0.03900767643,0.6685177585,0.02852168627,0.6139491593,0.03575446432,0.6239731539,0.0238743297,0.6107722747,0.01841351195,0.5659926477,0.01287123428,0.4295337076,0.03522980356,0.3375846664,0.07601935126
,EasOnly,0.6293934291,0.06139030339,0.6869449228,0.0353294624,--,--,0.6148195204,0.03543866513,0.666152056,0.03133268811,0.6139491593,0.03575446432,0.6242216238,0.02487493295,0.5969490524,0.02554154307,0.5659926477,0.01287123428,0.4295337076,0.03522980356,0.3465831061,0.08740504861
,AmrOnly,0.631175075,0.0638420177,0.6860519434,0.03540084436,--,--,0.623067484,0.03668147355,0.6641381639,0.03680634776,0.6139491593,0.03575446432,0.6233942721,0.02117826797,0.6120731815,0.02528077673,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,AfrOnly,0.6285377529,0.06238006208,0.6850779084,0.03427090488,--,--,0.6201126927,0.03095975865,0.6557736902,0.02669278997,0.6139491593,0.03575446432,0.6227028675,0.02367971514,0.6051798842,0.02433989722,0.5659926477,0.01287123428,0.4295337076,0.03522980356,0.3280583769,0.1105966937
,EurAmr,0.6309098422,0.06271984869,0.6887476026,0.03548750903,0.6662841046,0.03679913291,0.6291478113,0.0373322014,0.6773992038,0.03056292173,0.6139491593,0.03575446432,0.6218176966,0.02226713774,0.6375677323,0.01839253819,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EurEas,0.6298465697,0.06150055564,0.6886605744,0.03552678867,0.6777608061,0.03092001631,0.624589012,0.03535826476,0.6882090353,0.03039762895,0.6139491593,0.03575446432,0.6235777719,0.02274578755,0.634272459,0.02336904899,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EurAfr,0.6293477478,0.06164803463,0.6869706347,0.03562763519,0.6743784194,0.02842621932,0.6248012869,0.03254207535,0.6831166442,0.02160173673,0.6139491593,0.03575446432,0.6223128265,0.02493050629,0.631512488,0.01742616124,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EasAmr,0.6312819022,0.06332057663,0.6881062549,0.03563828842,0.669391779,0.03776773864,0.6290132397,0.03301593006,0.6818900988,0.03220538654,0.6139491593,0.03575446432,0.623154105,0.02088833082,0.6263622122,0.02790294675,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EasAfr,0.6297352359,0.06184743507,0.6874750412,0.03528859065,0.6823375689,0.02786086343,0.6247080518,0.0320575681,0.681761479,0.02508627873,0.6139491593,0.03575446432,0.6220809928,0.0235982539,0.618092537,0.02559234081,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,AmrAfr,0.6310584512,0.0637165594,0.6875894401,0.03539187866,0.664700658,0.03684083839,0.6296045975,0.03101600224,0.6816880524,0.02542357307,0.6139491593,0.03575446432,0.6211903699,0.02238278926,0.6275670883,0.02381949996,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EurEasAmr,0.630729535,0.062854113,0.689118841,0.03586594062,0.6816368772,0.03164181802,0.6309940399,0.03457854779,0.6947230337,0.02937226767,0.6139491593,0.03575446432,0.6227225181,0.01952304689,0.647468951,0.02685977438,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EurEasAfr,0.631122695,0.06246188877,0.6921063143,0.03931833816,0.6842573334,0.03099617987,0.6275022946,0.03245018348,0.6957971193,0.02644411101,0.6139491593,0.03575446432,0.6211074557,0.02228953442,0.6483952266,0.02485080122,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EurAmrAfr,0.6307494446,0.06284573331,0.6892878342,0.03551610429,0.6680263654,0.03544001972,0.6308712387,0.03299302557,0.6968203571,0.01883312655,0.6139491593,0.03575446432,0.6200273176,0.02165952844,0.6518261332,0.02001783851,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EasAmrAfr,0.6304627609,0.06283190529,0.689407401,0.03568936423,0.6705384096,0.03678887931,0.6311368443,0.03101400969,0.6900312863,0.02770914471,0.6139491593,0.03575446432,0.6210043538,0.02088581512,0.6388038197,0.02466221777,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
,EurEasAmrAfr,0.6313524589,0.06256579412,0.692229911,0.0392759527,0.6870827817,0.02940332209,0.6319179215,0.03231221485,0.6994208452,0.02521197938,0.6139491593,0.03575446432,0.6191106282,0.02144027256,0.6590708179,0.02292404847,0.5659926477,0.01287123428,0.4295337076,0.03522980356,--,--
"Aux
1000",EurOnly,0.6574289419,0.06926566903,0.6520152789,0.0242165505,--,--,0.6276193991,0.03956885359,0.6842894526,0.02598554501,0.6139491593,0.03575446432,0.6186718774,0.02240232896,0.624071478,0.02014732268,0.5659926477,0.01287123428,0.4640211813,0.01829322484,0.3899934567,0.08461647913
,EasOnly,0.6613557296,0.07045102672,0.651410211,0.02391851176,--,--,0.6285048487,0.03381821035,0.6816088616,0.03029541,0.6139491593,0.03575446432,0.6207279295,0.02169148914,0.6133232843,0.02466269256,0.5659926477,0.01287123428,0.4640211813,0.01829322484,0.3746357521,0.0842158461
,AmrOnly,0.6621109375,0.06986380254,0.6530070704,0.02487364592,--,--,0.6264185232,0.03730976272,0.6770099717,0.03195778878,0.6139491593,0.03575446432,0.621280405,0.02372347615,0.6180353193,0.02975241935,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,AfrOnly,0.6570728343,0.06543856831,0.6491529383,0.02759886984,--,--,0.6263406503,0.03032831327,0.6677901413,0.0300320908,0.6139491593,0.03575446432,0.6200530126,0.02330454172,0.6128690151,0.02472623688,0.5659926477,0.01287123428,0.4640211813,0.01829322484,0.3286675006,0.1149898188
,EurAmr,0.6623933324,0.0714422183,0.6585658524,0.02212490705,0.6802739567,0.03140593382,0.633214896,0.03840547785,0.6982757742,0.02289912348,0.6139491593,0.03575446432,0.6171203287,0.02071391298,0.6518931056,0.0220890562,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EurEas,0.6616730764,0.07085201111,0.6575932591,0.02053680111,0.697858979,0.02458740522,0.6340706956,0.0357081613,0.7042885442,0.03091334293,0.6139491593,0.03575446432,0.6170860893,0.01948245962,0.6477629367,0.02498465243,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EurAfr,0.657888525,0.06767867055,0.6582581766,0.02040428978,0.6894891266,0.02239605787,0.6319073563,0.03420100722,0.6954178902,0.02016827953,0.6139491593,0.03575446432,0.6155506116,0.02079367209,0.6483831037,0.01886968915,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EasAmr,0.6645469987,0.07217881433,0.6577341439,0.02311069733,0.6831331706,0.03165986772,0.6350605236,0.03288252714,0.6982981592,0.03314491212,0.6139491593,0.03575446432,0.6183033403,0.01878330132,0.6453831353,0.03183815127,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EasAfr,0.6612033787,0.06873553881,0.6559269271,0.02198805099,0.6983580143,0.02671335845,0.6331940157,0.03103151149,0.6987615279,0.0253927672,0.6139491593,0.03575446432,0.6164812586,0.01875663584,0.6416150489,0.03160471982,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,AmrAfr,0.6611163827,0.06903242443,0.6581553888,0.0222211424,0.6780445974,0.03183863362,0.6326249639,0.03186494577,0.6940870279,0.02304585955,0.6139491593,0.03575446432,0.6188492408,0.02088420604,0.6424475722,0.01729921128,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EurEasAmr,0.6637634431,0.0702638502,0.6586384209,0.02364787754,0.701379747,0.02388554044,0.6364022471,0.03522016436,0.7083443098,0.02524742559,0.6139491593,0.03575446432,0.6144693973,0.01802024029,0.6667457256,0.02842915222,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EurEasAfr,0.6614698176,0.06824321455,0.6589037592,0.02155042801,0.7007718298,0.0215962718,0.6351630383,0.03322862904,0.70728398,0.02348888689,0.6139491593,0.03575446432,0.6126313126,0.01781155436,0.6710741753,0.01928851777,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EurAmrAfr,0.6621222293,0.06895942711,0.6599235986,0.0217390532,0.6844320704,0.02949458818,0.6346032105,0.034450738,0.7097985424,0.0176088684,0.6139491593,0.03575446432,0.6142961571,0.0192065267,0.6726731712,0.02024297366,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EasAmrAfr,0.6622945969,0.06964016391,0.6597012734,0.02208917644,0.6842473092,0.03127538101,0.636014519,0.03117690252,0.7085229693,0.02305767105,0.6139491593,0.03575446432,0.6137029444,0.01849901638,0.6625428816,0.0248617113,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
,EurEasAmrAfr,0.6630831127,0.06931367676,0.6614275293,0.02214907189,0.7018432861,0.02107643004,0.6368819941,0.03321382346,0.7155237313,0.02290338088,0.6139491593,0.03575446432,0.6099374392,0.0179388638,0.6838320284,0.02306775521,0.5659926477,0.01287123428,0.4640211813,0.01829322484,--,--
"Aux
2500",EurOnly,0.6709809138,0.05858754357,0.7118910116,0.0339914047,--,--,0.6316887836,0.03482472918,0.6953031089,0.02573841511,0.6139491593,0.03575446432,0.6166408876,0.01977720239,0.642583808,0.02500128987,0.5659926477,0.01287123428,0.4392527199,0.00689520712,0.3851024032,0.09006091267
,EasOnly,0.6670646736,0.06072972661,0.7094814184,0.02988119195,--,--,0.6323137996,0.03204157023,0.6959554091,0.03123519684,0.6139491593,0.03575446432,0.6134910843,0.01845454023,0.6294193363,0.02350085787,0.5659926477,0.01287123428,0.4392527199,0.00689520712,0.3785898038,0.08606964209
,AmrOnly,0.6699525993,0.05948335515,0.7096008206,0.02044702019,--,--,0.6301610696,0.03548497147,0.6943054597,0.03082897217,0.6139491593,0.03575446432,0.6169928339,0.01875104384,0.6303422763,0.0295058569,0.5659926477,0.01287123428,0.4392527199,0.00689520712,--,--
,AfrOnly,0.6623851662,0.05330737262,0.7256597367,0.02126738215,--,--,0.632245044,0.03195361023,0.6847314795,0.03050546826,0.6139491593,0.03575446432,0.6177023613,0.01768812752,0.6321400097,0.03149008293,0.5659926477,0.01287123428,0.4392527199,0.00689520712,0.3434441776,0.0884863777
