,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
"Tar
100",EurOnly,0.3195202125,0.1826827355,0.7026153716,0.0521961427,--,--,0.5617573276,0.1142338863,0.5210809616,0.1340594066,0.3735188007,0.05466073131,0.3007954539,0.09276052885,0.3547968187,0.09124037845,0.2785490918,0.08506993742,0.3807745834,0.06898707297,0.08075869181,0.1061506387
,EasOnly,0.3409473985,0.22224507,0.7009084517,0.1239482702,--,--,0.5358974404,0.1597622069,0.5043081069,0.187813908,0.3735188007,0.05466073131,0.3103227912,0.08094435486,0.3728331236,0.09380382058,0.2785490918,0.08506993742,0.3807745834,0.06898707297,0.02255175214,0.0977371014
,AmrOnly,0.3932423411,0.2555065523,0.7292534483,0.06813605451,--,--,0.5435267002,0.1098587907,0.5208601611,0.07971808647,0.3735188007,0.05466073131,0.299669263,0.0930402354,0.3311344168,0.0712110583,0.2785490918,0.08506993742,0.3807745834,0.06898707297,--,--
,AfrOnly,0.3111083455,0.192347629,0.7059733157,0.03558207306,--,--,0.6127301205,0.1468243606,0.5482951564,0.111398029,0.3735188007,0.05466073131,0.3081839839,0.07609460285,0.3928620695,0.1243106926,0.2785490918,0.08506993742,0.3807745834,0.06898707297,0.04853419137,0.09256286252
,EurAmr,0.3720418518,0.2300609092,0.7799200816,0.05043069498,0.5932357453,0.1181433675,0.5838876506,0.1140651662,0.5941348355,0.1201885174,0.3735188007,0.05466073131,0.2941344471,0.09477353489,0.3738754573,0.08737406891,0.2785490918,0.08506993742,0.3807745834,0.06898707297,--,--
,EurEas,0.336215736,0.2066913054,0.7747441941,0.07356414591,0.5546408417,0.1405624636,0.5881223664,0.1138466649,0.5576887075,0.1552411464,0.3735188007,0.05466073131,0.2989626168,0.09043562656,0.3790801944,0.1227551754,0.2785490918,0.08506993742,0.3807745834,0.06898707297,--,--
,EurAfr,0.3224373733,0.1953642687,0.7812550865,0.03713026264,0.5554966965,0.1399204269,0.61808045,0.1185577553,0.6033605876,0.1389941619,0.3735188007,0.05466073131,0.2938081796,0.08558434184,0.4051918422,0.1348247552,0.2785490918,0.08506993742,0.3807745834,0.06898707297,--,--
,EasAmr,0.379900306,0.2479959142,0.7835058804,0.08380731639,0.5635796381,0.09415394204,0.5779036749,0.1269511366,0.5850078419,0.1239989662,0.3735188007,0.05466073131,0.2974521991,0.0870832178,0.4045022183,0.09165721386,0.2785490918,0.08506993742,0.3807745834,0.06898707297,--,--
,EasAfr,0.3298507395,0.2131735753,0.7801602221,0.08637434132,0.5757539368,0.1674604329,0.6074941265,0.1494535551,0.5883561486,0.1586672913,0.3735188007,0.05466073131,0.3066164912,0.08081765209,0.4018101103,0.1299613445,0.2785490918,0.08506993742,0.3807745834,0.06898707297,--,--
