"MPP-GWAS
(AUC-ROC)","#Tar: 100
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","#Tar: 1000
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","h2: 0.3
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","#Naux: 500
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","rho: 0.3
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","MPP-GWAS
(PR-AUC)","#Tar: 100
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","#Tar: 1000
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","h2: 0.3
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","#Naux: 500
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","rho: 0.3
Binary Y Log Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.583679834,0.552494802,0.58991684,0.590956341,SET 1.2.1,0.749800175,0.751598597,0.751231178,0.750522123,SET 1.4.1,0.604623267,0.604303797,0.605527426,0.605003014,SET 1.5.1,0.481850928,0.514691806,0.520094965,0.486737701,SET 1.6.1,0.722750759,0.732667651,0.729134203,0.72674212,,SET 1.1.1,0.43294296,0.30542103,0.383620562,0.437094758,SET 1.2.1,0.411403866,0.417486283,0.414793813,0.411299565,SET 1.4.1,0.30971476,0.307226319,0.308207969,0.307786148,SET 1.5.1,0.194227673,0.21010413,0.224510299,0.209597979,SET 1.6.1,0.407426868,0.422162507,0.425296468,0.422105393
,SET 1.1.2,0.554925585,0.596739901,0.609496811,0.636428065,SET 1.2.2,0.755487017,0.749028067,0.752767459,0.751951592,SET 1.4.2,0.609161,0.603031319,0.594585049,0.590071593,SET 1.5.2,0.512221826,0.526049637,0.511266098,0.501987067,SET 1.6.2,0.397205886,0.553357403,0.490061788,0.525099878,,SET 1.1.2,0.230281594,0.242904847,0.254902302,0.256146985,SET 1.2.2,0.451064804,0.444968482,0.452987811,0.452197226,SET 1.4.2,0.307385724,0.303141359,0.289783945,0.282147104,SET 1.5.2,0.226949768,0.223868398,0.232933347,0.212928274,SET 1.6.2,0.162061085,0.236821896,0.196005077,0.212012406
,SET 1.1.3,0.610954263,0.675324675,0.708639187,0.693958216,SET 1.2.3,0.725707915,0.722267877,0.725236503,0.724841535,SET 1.4.3,0.640933975,0.64649152,0.642647924,0.64353048,SET 1.5.3,0.541549126,0.486256781,0.516901748,0.499023508,SET 1.6.3,0.730705244,0.730886076,0.728770344,0.729252562,,SET 1.1.3,0.302114592,0.446328797,0.390546343,0.365996996,SET 1.2.3,0.408747542,0.404926437,0.405688105,0.406824221,SET 1.4.3,0.284639936,0.285375189,0.284004387,0.285625616,SET 1.5.3,0.247910216,0.195299469,0.243831885,0.219318292,SET 1.6.3,0.423628421,0.410333202,0.412838721,0.409895628
,SET 1.1.4,0.699819168,0.671488849,0.707655214,0.633514165,SET 1.2.4,0.744082652,0.742013925,0.741076343,0.741856653,SET 1.4.4,0.607329285,0.612484076,0.613829062,0.614220116,SET 1.5.4,0.507730061,0.532634721,0.53332449,0.455307578,SET 1.6.4,0.695186294,0.695154926,0.69889397,0.698404632,,SET 1.1.4,0.316069009,0.340136552,0.404758027,0.308056097,SET 1.2.4,0.432096863,0.425142873,0.427156699,0.428744957,SET 1.4.4,0.271772322,0.278664656,0.279099554,0.280927254,SET 1.5.4,0.195562603,0.206329501,0.21772949,0.173813734,SET 1.6.4,0.423837954,0.425655441,0.423941568,0.424582458
,SET 1.1.5,0.81351527,0.803768681,0.794671865,0.783625731,SET 1.2.5,0.721969012,0.724187849,0.726242327,0.738746199,SET 1.4.5,0.515825973,0.444820787,0.505275324,0.49885964,SET 1.5.5,0.514763636,0.49885368,0.504741126,0.487806061,SET 1.6.5,0.703446727,0.704047688,0.703246406,0.704824689,,SET 1.1.5,0.604486014,0.500561343,0.494989994,0.460428763,SET 1.2.5,0.411844008,0.41859529,0.420378198,0.423867322,SET 1.4.5,0.211574966,0.181384878,0.206236154,0.202208368,SET 1.5.5,0.185635689,0.178128227,0.178606713,0.183582332,SET 1.6.5,0.382284753,0.382254732,0.378355656,0.382287915
,AVERAGE,0.652578824,0.6599633816,0.6820759834,0.6676965036,AVERAGE,0.7394093542,0.737819263,0.739310762,0.7415836204,AVERAGE,0.5955747,0.5822262998,0.592372957,0.5903369686,AVERAGE,0.5116231154,0.511697325,0.5172656854,0.486172383,AVERAGE,0.649858982,0.6832227488,0.6700213422,0.6768647762,,AVERAGE,0.3771788338,0.3670705138,0.3857634456,0.3655447198,AVERAGE,0.4230314166,0.422223873,0.4242009252,0.4245866582,AVERAGE,0.2770175416,0.2711584802,0.2734664018,0.271738898,AVERAGE,0.2100571898,0.202745945,0.2195223468,0.1998481222,AVERAGE,0.3598478162,0.3754455556,0.367287498,0.37017676
,STD DEV,0.1050571508,0.09564971768,0.08336482675,0.07443867171,STD DEV,0.01483404094,0.01379097147,0.01318299139,0.01090658739,STD DEV,0.04696263852,0.07881321463,0.05184560692,0.05473394592,STD DEV,0.02125633111,0.01914099542,0.01071076696,0.0185127005,STD DEV,0.1419587332,0.07442723644,0.1015735573,0.0858931545,,STD DEV,0.1463950495,0.1049343687,0.08579530867,0.08572543424,STD DEV,0.018251303,0.01466842242,0.01791125978,0.01783397999,STD DEV,0.03987379628,0.05157894597,0.03916607736,0.04037169928,STD DEV,0.02634049706,0.01713640004,0.02486459162,0.0199223674,STD DEV,0.1118587017,0.07934660972,0.09760867025,0.08999554757
,"#Tar: 100
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","#Tar: 1000
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","h2: 0.3
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","#Naux: 500
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","rho: 0.3
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",,"#Tar: 100
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","#Tar: 1000
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","h2: 0.3
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","#Naux: 500
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","rho: 0.3
Binary Y Training",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.6782744283,0.577962578,0.6283783784,0.5945945946,SET 1.2.1,0.7412528362,0.7401570235,0.7394544142,0.7438118812,SET 1.4.1,0.5941531043,0.6020433996,0.5971790235,0.604912598,SET 1.5.1,0.4889417869,0.5435401396,0.5210647623,0.5265623819,SET 1.6.1,0.7088083326,0.7088288362,0.7088083326,0.7088083326,,SET 1.1.1,0.5083976483,0.3413296969,0.4352307721,0.4424999551,SET 1.2.1,0.4509744216,0.4394297703,0.4405237292,0.4421944677,SET 1.4.1,0.2907765088,0.2986645988,0.3055460468,0.3043599681,SET 1.5.1,0.1945769864,0.2141217712,0.2204390997,0.2281245692,SET 1.6.1,0.378396447,0.3784419964,0.3784462767,0.3784459831
