,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,"MultiPopPred-GWAS-
Admixture",MultiPopPred-PRS,MultiPopPred-PRS+
,Data Set 2,Training R2,0.885731341,0.341090487,0.865853757,0.771333294,0.000013149,0.647994147,0.046358633,0.999258743,0.999792452,0.9061234,0.999106108,0.5174288,0.999245786
,,Validation R2,0.000720852,0.027780777,0.001155145,0.000276636,0.000160822,0.000112471,0.009079254,0.001915390,0.002061027,0.001047327,0.001882334,0.000002013153,0.001896226
,,Testing R2,0.002681673,0.000172437,0.001588917,0.000084583,0.000184165,0.003871286,0.000535256,0.001960116,0.002293475,0.001447344,0.002083759,0.0004426444,0.001992317
,Data Set 3,Training R2,0.849921570,0.426807942,0.647081728,0.748185470,0.000307620,0.725468294,0.422405634,0.999338441,0.999785956,0.882246,0.999038048,0.1148525,0.999226328
,,Validation R2,0.003011772,0.032407362,0.003494107,0.002553731,0.000462435,0.002009631,0.006416735,0.001136690,0.001187322,0.001630916,0.001044010,5.84E-06,0.001243891
,,Testing R2,0.000491876,0.001984095,0.000628969,0.001532448,0.001859233,0.000957407,0.000100513,0.004376402,0.004220971,0.0009806551,0.003992439,0.0008560374,0.004238480
,Average,Training R2,0.873648655,0.399723951,0.792547580,0.765409885,0.000106942,0.676686011,0.180151320,0.999317877,0.999768671,0.8981163333,0.999065270,0.3881269333,0.999253213
,,Validation R2,0.001555616,0.028540484,0.001920181,0.001048328,0.000255620,0.000831475,0.007350863,0.001958839,0.002074073,0.001344732667,0.001896810,0.0002567941047,0.001978198
,,Testing R2,0.001926785,0.001125929,0.001085272,0.000544990,0.000682042,0.001625127,0.000559883,0.002778634,0.002887234,0.001268725033,0.002767750,0.0005535533333,0.002790320
,Standard Deviation,Training R2,0.020549427,0.050827133,0.125978428,0.015157176,0.000173915,0.042465040,0.210180352,0.000051997,0.000035712,0.0137442999,0.000036015,0.2367762537,0.000031267
,,Validation R2,0.001265573,0.003548550,0.001363237,0.001303855,0.000179314,0.001028552,0.001498463,0.000844713,0.000893345,0.000291956308,0.000860129,0.0004379825831,0.000778537
,,Testing R2,0.001243232,0.000909583,0.000481722,0.000855813,0.001023505,0.001997817,0.000472166,0.001383847,0.001157362,0.0002518616047,0.001063029,0.0002650456883,0.001256320
DBP,Data Set 1,Training R2,0.628156834,0.706678256,0.706678256,0.626400671,0.000053525,0.514787915,0.001836739,0.511306039,0.511174330,0.6583267,0.511306038,0.004842919,0.511306034
,,Validation R2,0.000009863,0.000401265,0.000401265,0.000184004,0.000134964,0.000026106,0.002262905,0.000104912,0.000104995,4.96E-06,0.000104912,0.001003852,0.000104912
,,Testing R2,0.008795712,0.007547210,0.007547210,0.005071622,0.000286668,0.006718003,0.006194377,0.006032590,0.006037426,0.008684378,0.006032590,5.36E-05,0.006032588
,Data Set 2,Training R2,0.916472747,0.218149792,0.890239926,0.789301851,0.000449086,0.569339203,0.457578454,0.917665077,0.917665081,0.9217977,0.917665079,0.01378035,0.917665078
,,Validation R2,0.001009339,0.052133470,0.001733453,0.001052768,0.000406239,0.002221569,0.003535622,0.001581225,0.001581225,1.48E-03,0.001581225,9.15E-06,0.001581229
,,Testing R2,0.001164131,0.000024993,0.000615799,0.000010140,0.000045190,0.000406212,0.000501188,0.001611044,0.001611043,0.0009833161,0.001611044,0.000353903,0.001611049
,Data Set 3,Training R2,0.916778554,0.329627309,0.689664649,0.787949929,0.000222192,0.582346181,0.404653491,0.918003933,0.918003933,0.9215796,0.918003932,0.01873677,0.918003929
,,Validation R2,0.000849975,0.030400520,0.001553503,0.001238225,0.000390443,0.001133536,0.002436231,0.001584958,0.001584958,0.0011342,0.001584957,1.18E-05,0.001584965
,,Testing R2,0.001406513,0.000440286,0.002122904,0.000056165,0.000252054,0.000352510,0.000851259,0.001589503,0.001589503,0.001412609,0.001589502,1.98E-06,0.001589511
,Average,Training R2,0.820469378,0.418151785,0.762194277,0.734550817,0.000241601,0.555491100,0.288022895,0.782325016,0.782281115,0.8339013333,0.782325016,0.01245334633,0.782325014
,,Validation R2,0.000623059,0.027645085,0.001229407,0.000824999,0.000310549,0.001127071,0.002744919,0.001090365,0.001090393,8.75E-04,0.001090365,0.0003415959503,0.001090368
,,Testing R2,0.003788785,0.002670830,0.003428638,0.001712642,0.000194637,0.002492241,0.002515608,0.003077712,0.003079324,0.003693434367,0.003077712,1.37E-04,0.003077716
,Standard Deviation,Training R2,0.166547619,0.256012602,0.111216599,0.093663213,0.000198493,0.035844906,0.249253184,0.234709380,0.234785424,0.1520521318,0.234709381,0.007041340636,0.234709383
,,Validation R2,0.000536988,0.025975942,0.000722814,0.000562809,0.000152265,0.001097746,0.000690231,0.000853429,0.000853381,0.0007733044864,0.000853429,0.0005735320807,0.000853432
,,Testing R2,0.004337819,0.004228171,0.003645521,0.002909053,0.000130577,0.003659715,0.003190712,0.002559022,0.002561814,0.00432761041,0.002559022,0.0001900352938,0.002559017
