,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,"MultiPopPred-GWAS-
Admixture",MultiPopPred-PRS,MultiPopPred-PRS+
Height,Data Set 1,Training R2,0.900946542,0.745236044,0.883218857,0.791261502,0.001877515,0.606979627,0.199408407,0.963939788,0.961602860,0.9097772,0.961602860,0.7022892,0.882593675
,,Validation R2,0.020195218,0.064835377,0.013789444,0.004780155,0.000119503,0.004453249,0.029058843,0.028915397,0.032177569,0.02153747,0.032177569,0.01023993,0.043993696
,,Testing R2,0.016642332,0.014564040,0.008198972,0.007069828,0.000481841,0.007017075,0.028575933,0.029921650,0.029259984,0.01648541,0.029259981,0.0125605,0.049778616
,Data Set 2,Training R2,0.900857243,0.713787211,0.877634489,0.791834691,0.001276717,0.730930557,0.392114100,0.963853701,0.961299757,0.909631,0.961299756,0.7320513,0.882060132
,,Validation R2,0.021111346,0.061580483,0.012919619,0.004698598,0.000362989,0.009130719,0.031380936,0.027890004,0.031405514,0.02314209,0.031405513,0.005135196,0.042825510
,,Testing R2,0.016796235,0.017083954,0.010735599,0.008236442,0.000267815,0.013604200,0.038756192,0.031117266,0.030425849,0.01674105,0.030425852,0.01717716,0.050463653
,Data Set 3,Training R2,0.898608046,0.803739132,0.864677073,0.779019013,0.000018900,0.516046429,0.234010185,0.965511361,0.946467073,0.9081164,0.946466568,0.7999913,0.887955841
,,Validation R2,0.027323409,0.043246161,0.025461927,0.015749590,0.003099700,0.007708570,0.050608351,0.025902372,0.019018244,0.02523837,0.019018491,0.01163932,0.065165165
,,Testing R2,0.025123751,0.031424852,0.021252988,0.007939954,0.000121935,0.005700461,0.038463784,0.030140301,0.028038511,0.02609784,0.028038883,0.01025505,0.062505938
,Average,Training R2,0.900137277,0.754254129,0.875176806,0.787371735,0.001057711,0.617985538,0.275177564,0.964434950,0.956456563,0.9091748667,0.956456395,0.7447772667,0.884203216
,,Validation R2,0.022876657,0.056554007,0.017390330,0.008409448,0.001194064,0.007097513,0.037016043,0.027569258,0.027533775,0.02330597667,0.027533858,0.009004815333,0.050661457
,,Testing R2,0.019520773,0.021024282,0.013395853,0.007748741,0.000290530,0.008773912,0.035265303,0.030393072,0.029241448,0.01977477,0.029241572,0.0133309,0.054249402
,Standard Deviation,Training R2,0.001325106,0.045649002,0.009512076,0.007239345,0.000948464,0.107864010,0.102737217,0.000933192,0.008652480,0.0009195691237,0.008652771,0.05007881545,0.003260799
,,Validation R2,0.003878146,0.011639272,0.007003725,0.006356880,0.001654813,0.002397858,0.011828404,0.001531907,0.007384763,0.001855885054,0.007384621,0.003423454167,0.012574153
,,Testing R2,0.004852932,0.009094855,0.006921672,0.000606357,0.000181025,0.004234635,0.005795009,0.000636628,0.001193777,0.005477433727,0.001193591,0.003524775551,0.007158569
BMI,Data Set 1,Training R2,0.851775927,0.795713752,0.850439735,0.754274370,0.000067621,0.706528286,0.662423576,0.926871972,0.952212248,0.8821639,0.952212248,0.8125082,0.921893211
,,Validation R2,0.007545993,0.039776624,0.012629249,0.009087924,0.000781471,0.005005330,0.007244782,0.011045091,0.010486717,0.008465685,0.010486716,0.004813446,0.018487637
,,Testing R2,0.003518586,0.007534936,0.001555364,0.000543434,0.000090406,0.002531002,0.007013181,0.008310097,0.011408125,0.004698259,0.011408125,0.0006650901,0.012729524
,Data Set 2,Training R2,0.876975680,0.729430767,0.880655721,0.792507828,0.000014394,0.533944593,0.006042424,0.937875659,0.844252711,0.8988695,0.905775006,0.7706429,0.933138997
,,Validation R2,0.001671453,0.062472857,0.003062758,0.001186283,0.000232337,0.000015275,0.003199593,0.011801586,0.000294547,0.002717451,0.000389547,0.004386953,0.019468214
,,Testing R2,0.009408992,0.005960342,0.008030027,0.009694418,0.000032526,0.001476908,0.002230676,0.014642284,0.008875075,0.009936744,0.007163332,0.002873682,0.020436740
,Data Set 3,Training R2,0.876149755,0.703745914,0.879351190,0.789471581,0.000004709,0.642709646,0.279522222,0.937880852,0.909108876,0.8985841,0.916715056,0.05146228,0.933449803
,,Validation R2,0.001435980,0.052325423,0.002247493,0.000860006,0.000297808,0.000829490,0.006578743,0.011786782,0.000462509,0.002427344,0.000752678,0.001209867,0.019525917
,,Testing R2,0.008616384,0.004591093,0.007408740,0.008296503,0.000033331,0.004738606,0.003360774,0.014329486,0.007052231,0.009100363,0.007681705,0.0002819244,0.020478409
,Average,Training R2,0.868300454,0.742963478,0.870148882,0.778751260,0.000028908,0.627727508,0.315996074,0.934209495,0.901857945,0.8932058333,0.924900770,0.5448711267,0.929494004
,,Validation R2,0.003551142,0.051524968,0.005979833,0.003711405,0.000437205,0.001950032,0.005674373,0.011544486,0.003747924,0.004536826667,0.003876314,0.003470088667,0.019160589
,,Testing R2,0.007181321,0.006028791,0.005664710,0.006178118,0.000052088,0.002915505,0.004201543,0.012427289,0.009111810,0.007911789,0.008751054,0.0012735655,0.017881558
,Standard Deviation,Training R2,0.014316617,0.047453888,0.017081080,0.021251901,0.000033874,0.087261854,0.329707159,0.006354481,0.054343789,0.009563659451,0.024276713,0.4278170091,0.006584314
,,Validation R2,0.003461645,0.011369270,0.005772972,0.004659060,0.000299935,0.002677102,0.002168940,0.000432552,0.005836570,0.003405581649,0.005727655,0.001968991,0.000583508
,,Testing R2,0.003196682,0.001473115,0.003572330,0.004929583,0.000033187,0.001664497,0.002499652,0.003569021,0.002187575,0.002814242879,0.002315642,0.001398922299,0.004461841
SBP,Data Set 1,Training R2,0.885293055,0.431273425,0.864707257,0.776710891,0.000000057,0.656595590,0.071689692,0.999356446,0.999727605,0.9059796,0.999051654,0.5320995,0.999287525
,,Validation R2,0.000934224,0.025433312,0.001111290,0.000314618,0.000143604,0.000372323,0.006556600,0.002824438,0.002973870,0.001355955,0.002764085,0.000762528,0.002794477
,,Testing R2,0.002606807,0.001221254,0.001037929,0.000017939,0.000002730,0.000046689,0.001043881,0.001999385,0.002147255,0.001378176,0.002227052,0.0003619782,0.002140164
