,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
,AmrAfr,0.1344672103,0.07738543384,0.2050268306,0.07028877637,0.2917879627,0.06721766717,0.365697805,0.07393643519,0.3050287189,0.06054229615,0.3732369918,0.06500159537,0.2750658746,0.08021688416,0.207315925,0.08424909179,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EurEasAmr,0.1357890556,0.07967051334,0.1969163427,0.06299289007,0.315226834,0.06689945934,0.3643758457,0.07389485544,0.3193743236,0.0683417551,0.3732369918,0.06500159537,0.273344506,0.08067772299,0.208317523,0.07188897514,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EurEasAfr,0.1343742713,0.07810459492,0.2001969932,0.06166626729,0.3162266705,0.07041004361,0.3607686945,0.07332108394,0.32486874,0.07015502871,0.3732369918,0.06500159537,0.2794954067,0.08161171466,0.214670582,0.07525135286,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EurAmrAfr,0.1345831981,0.07914766983,0.1936698796,0.07211382363,0.2973048368,0.06576775007,0.3671124682,0.07194208556,0.3111782047,0.06188792589,0.3732369918,0.06500159537,0.2712089415,0.08315252875,0.2265228165,0.07106014489,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EasAmrAfr,0.1356349852,0.07862767844,0.2113506755,0.0627441232,0.2977253239,0.06855351486,0.3623725653,0.0723342986,0.3246533358,0.06706439138,0.3732369918,0.06500159537,0.2716016986,0.08062637106,0.2163767607,0.07425469534,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EurEasAmrAfr,0.1353388215,0.07903057453,0.2022958117,0.06576468631,0.3167373513,0.06958828575,0.3647983641,0.07203292786,0.3303499128,0.06645285143,0.3732369918,0.06500159537,0.2722910357,0.08392157254,0.2308260917,0.06258446183,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
"Heritability
0.3",EurOnly,0.4274335658,0.06884110039,0.4207424409,0.0648350422,--,--,0.5083151901,0.07140308937,0.5016278064,0.05261504602,0.4962984253,0.07085879864,0.5259510785,0.06374487106,0.4683330146,0.0502382366,0.4578722422,0.06437759194,0.4520478277,0.05456191952,0.2791010658,0.06427596772
,EasOnly,0.4330550518,0.07379904449,0.4409244177,0.03109311304,--,--,0.516714685,0.06890347485,0.5029861892,0.04521521553,0.4962984253,0.07085879864,0.523895157,0.06633186971,0.4760484715,0.06038943064,0.4578722422,0.06437759194,0.4520478277,0.05456191952,0.2611156326,0.05552512392
,AmrOnly,0.4364783663,0.06824305533,0.4209337901,0.06318841042,--,--,0.5152327313,0.07188427717,0.4996445314,0.04615837653,0.4962984253,0.07085879864,0.5214164912,0.06725824115,0.4770922897,0.04507790786,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,AfrOnly,0.4281399945,0.0725714616,0.426108467,0.06368803386,--,--,0.5157955523,0.0751568178,0.5002700633,0.05646594701,0.4962984253,0.07085879864,0.5182365622,0.06826702586,0.4725681482,0.05410364103,0.4578722422,0.06437759194,0.4520478277,0.05456191952,0.2804006482,0.01577566602
,EurAmr,0.4339971186,0.06854914252,0.4412025872,0.06221971231,0.5072316056,0.04808087974,0.5170121282,0.06937271659,0.5236103657,0.04910832562,0.4962984253,0.07085879864,0.5168118039,0.06034010632,0.4920474168,0.04120129957,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EurEas,0.4293884972,0.07132135159,0.4511861232,0.04965700422,0.5149694085,0.05227182978,0.5172950552,0.06769655639,0.5233737517,0.04563523777,0.4962984253,0.07085879864,0.520394091,0.05961551609,0.4693407087,0.04134270739,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EurAfr,0.4289076522,0.07122404815,0.4438957797,0.06626711478,0.5068850636,0.05329498977,0.5156642137,0.0722518052,0.5211935538,0.05672711479,0.4962984253,0.07085879864,0.5128878558,0.06463167757,0.495830172,0.05737508145,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EasAmr,0.4348346823,0.07115108209,0.4512797949,0.05009528779,0.504576554,0.04702470922,0.5225014382,0.06708626347,0.521979327,0.04357330089,0.4962984253,0.07085879864,0.5171883532,0.06301595779,0.5012022713,0.05265727067,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EasAfr,0.4299623057,0.07223799463,0.4557239218,0.04941128718,0.5219308766,0.04375997202,0.5206710422,0.07060799787,0.5247979614,0.0465341869,0.4962984253,0.07085879864,0.5113585859,0.06653571713,0.5044281432,0.0625662043,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,AmrAfr,0.4342606536,0.07027012641,0.4446974572,0.06546509993,0.50074804,0.0466343196,0.5202707939,0.07058043951,0.5180945812,0.05268486866,0.4962984253,0.07085879864,0.5111713753,0.06467206719,0.4961990028,0.05008403595,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EurEasAmr,0.4335299086,0.07094505012,0.4553552215,0.05369326844,0.5203217309,0.05182035801,0.5208482031,0.0673222838,0.5317555978,0.04768858114,0.4962984253,0.07085879864,0.511541922,0.05792601398,0.5190095476,0.05250852362,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EurEasAfr,0.4298638516,0.07286907782,0.4571733199,0.05597813356,0.5204055187,0.05153926026,0.5186169987,0.07027523309,0.5325812371,0.05031184181,0.4962984253,0.07085879864,0.5092431092,0.06345786362,0.5242594317,0.06591210724,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EurAmrAfr,0.4321678651,0.06970945375,0.4500471492,0.06405008837,0.5141879357,0.04746759934,0.5190420397,0.07016951659,0.5338558484,0.05121306309,0.4962984253,0.07085879864,0.507971722,0.06320600023,0.5078276827,0.05248059662,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EasAmrAfr,0.4328198364,0.07150872758,0.4578231088,0.05553871012,0.5070014513,0.04824202365,0.5219076663,0.06975021347,0.5315868318,0.04727528819,0.4962984253,0.07085879864,0.5082424601,0.06230911392,0.5283963877,0.05470691806,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
,EurEasAmrAfr,0.4329847218,0.07097377047,0.4586375429,0.05688327763,0.5239792273,0.05122481127,0.5205967125,0.06967145925,0.5382716588,0.0483444862,0.4962984253,0.07085879864,0.505026618,0.06200402004,0.533664275,0.05410064605,0.4578722422,0.06437759194,0.4520478277,0.05456191952,--,--
"Heritability
0.5",EurOnly,0.5653953128,0.04441956674,0.5917473001,0.0154728079,--,--,0.5686924968,0.04315607361,0.6398308634,0.01589428045,0.5308778535,0.03745302183,0.5486974825,0.04416328682,0.5057434356,0.1442745511,0.5152383624,0.04728804007,0.589644352,0.009763034526,0.3483005741,0.02663089666
,EasOnly,0.5594568636,0.05241964749,0.6027589024,0.01323353848,--,--,0.5656149723,0.03571812862,0.6218230851,0.02635162762,0.5308778535,0.03745302183,0.5475767657,0.04241162742,0.5740970492,0.03393869846,0.5152383624,0.04728804007,0.589644352,0.009763034526,0.3584435958,0.03718892039
,AmrOnly,0.5587438851,0.05040060366,0.5887451611,0.02160599784,--,--,0.551993608,0.03373242387,0.6217610306,0.01333676477,0.5308778535,0.03745302183,0.5441290287,0.04617947044,0.5712792906,0.03907713135,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,AfrOnly,0.5630679798,0.04815265421,0.5888675089,0.01242935628,--,--,0.5583970648,0.03670753664,0.6165585095,0.01998412244,0.5308778535,0.03745302183,0.5420687753,0.04421881737,0.5696614917,0.02671435872,0.5152383624,0.04728804007,0.589644352,0.009763034526,0.3669817775,0.03506860576
,EurAmr,0.5638951195,0.04810417415,0.6109819219,0.008690455261,0.6299070411,0.01351131611,0.5641403464,0.0382414387,0.6455817997,0.01486536896,0.5308778535,0.03745302183,0.5367580795,0.0458331442,0.6079451089,0.04090277784,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,EurEas,0.5629097692,0.04780319177,0.6200673834,0.0119863574,0.6490218557,0.01450697429,0.5713415216,0.04003050549,0.6522358168,0.01421779925,0.5308778535,0.03745302183,0.5358406611,0.0442261152,0.532229659,0.1544198157,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,EurAfr,0.5661531421,0.04427680297,0.6095051303,0.01758731546,0.6468538579,0.0158087107,0.5679047921,0.04028752905,0.6559685511,0.01826683408,0.5308778535,0.03745302183,0.5362615401,0.04400577181,0.6057536585,0.0290857357,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,EasAmr,0.5599977461,0.05117832557,0.6119119154,0.02433200756,0.627479302,0.01417914345,0.5626020037,0.03454357202,0.6425846458,0.01806877489,0.5308778535,0.03745302183,0.5357143066,0.04641633274,0.6100543915,0.03059396609,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,EasAfr,0.5629702531,0.04935816237,0.6192337326,0.006779774009,0.6439548394,0.02270527976,0.5661772953,0.03636903551,0.6464607575,0.02181004069,0.5308778535,0.03745302183,0.5342688542,0.04431747524,0.6010914074,0.02947736421,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,AmrAfr,0.5631936075,0.04829905302,0.6034322066,0.02069579988,0.6229730507,0.01369764692,0.5583592751,0.0349011857,0.6391898013,0.01481888258,0.5308778535,0.03745302183,0.534839953,0.04520449824,0.6079188946,0.02841071591,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
