,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,"MultiPopPred-GWAS-
Admixture",MultiPopPred-PRS,MultiPopPred-PRS+
,Data Set 2,Training R2,0.873232473,0.122115057,0.799260761,0.673717663,0.0000810955,0.521876354,0.0715352480,0.825134366,0.863173900,0.878701900,0.825132690,0.7811728,0.863322705
,,Validation R2,0.000166779,0.036297193,0.000145657,0.000136817,0.0006980300,0.000698999,0.0085111600,0.003495568,0.001937730,0.000180866,0.003495584,1.32E-05,0.003221556
,,Testing R2,0.001651541,0.000099709,0.001404085,0.000427709,0.0025387350,0.001029134,0.0000008727,0.000097479,0.000258635,0.001607155,0.000097475,0.001500782,0.001154118
,Data Set 3,Training R2,0.882904937,0.605014825,0.605014825,0.697689985,0.0000302653,0.362276368,0.0006296850,0.891341884,0.891341900,0.886143200,0.891341885,0.8407466,0.876905947
,,Validation R2,0.000028300,0.000148946,0.000148946,0.000255631,0.0004912880,0.000011713,0.0029881080,0.001996752,0.001996751,0.000039804,0.001996752,5.47E-05,0.004445406
,,Testing R2,0.000038578,0.000002632,0.000002632,0.000031878,0.0000547711,0.000505373,0.0000761692,0.000074109,0.000074109,0.000062202,0.000074109,0.000307917,0.000047767
,Average,Training R2,0.876561997,0.275741788,0.654885505,0.682433924,0.0000626844,0.529159069,0.1001222100,0.847084661,0.872638433,0.881097933,0.847083513,0.778923400,0.867883979
,,Validation R2,0.000104625,0.025178701,0.000227533,0.000193749,0.0005962440,0.000778828,0.0089220230,0.002967573,0.001984351,0.000118314,0.002967584,0.000541104,0.003641012
,,Testing R2,0.001175844,0.000037241,0.000675970,0.000295656,0.0017553280,0.002269107,0.0001445540,0.000096855,0.000214545,0.001172007,0.000096852,0.001598075,0.000812884
,Standard Deviation,Training R2,0.005495420,0.285371276,0.127008689,0.013256877,0.0000281619,0.170640654,0.1164481260,0.038328294,0.016198070,0.004371163,0.038329290,0.062978036,0.007813416
,,Validation R2,0.000070319,0.021721335,0.000138975,0.000059562,0.0001034080,0.000809985,0.0061496480,0.000841834,0.000041823,0.000071872,0.000841843,0.000878643,0.000696840
,,Testing R2,0.000989276,0.000054204,0.000702331,0.000228439,0.0014742430,0.002614436,0.0001874740,0.000022441,0.000124396,0.000968551,0.000022438,0.001341453,0.000663898
HDL,Data Set 1,Training R2,0.940118800,0.214074715,0.568123150,0.863804459,0.0000696537,0.155293761,0.0506619570,0.942192500,0.944574100,0.945045759,0.944574104,0.6129656,0.895424700
,,Validation R2,0.006389928,0.107549601,0.011675827,0.001039443,0.0032973590,0.016747415,0.0859456900,0.005815198,0.005750397,0.005267283,0.005750398,0.007912506,0.013306480
,,Testing R2,0.008810027,0.026334193,0.016513918,0.005101022,0.0000002068,0.018023473,0.0377507870,0.018736670,0.016634990,0.007864145,0.016634979,0.016653450,0.035274960
,Data Set 2,Training R2,0.939917174,0.087516442,0.592436186,0.862551656,0.0000627774,0.365431594,0.0681045980,0.941810900,0.944332300,0.947754961,0.944332289,0.4811487,0.895590600
,,Validation R2,0.006577821,0.071189996,0.012430296,0.002852509,0.0024421770,0.023867602,0.0780752380,0.005722587,0.005531522,0.003894303,0.005531511,0.006614864,0.013133120
,,Testing R2,0.009555455,0.030822251,0.016477903,0.003617945,0.0001328920,0.030096669,0.0285340910,0.018475220,0.016259120,0.010691776,0.016259110,0.002698543,0.033900070
,Data Set 3,Training R2,0.933863626,0.305707405,0.615791168,0.863832061,0.0000611410,0.132259242,0.0296671150,0.932908300,0.932908100,0.939918597,0.932888551,0.7342832,0.982453400
,,Validation R2,0.002560512,0.063248480,0.007251305,0.003586160,0.0001518210,0.021459285,0.0847109870,0.009252072,0.009252089,0.002003729,0.003880518,0.00481135,0.008012903
,,Testing R2,0.000010236,0.031150696,0.006326973,0.000009501,0.0000472275,0.026201993,0.0626477520,0.001010606,0.001010638,0.001063394,0.000040957,0.0008573004,0.009707134
,Average,Training R2,0.937966533,0.202432854,0.592116835,0.863396058,0.0000645241,0.217661532,0.0494778900,0.938970567,0.940604833,0.944239772,0.940598315,0.609465833,0.924489567
,,Validation R2,0.005176087,0.080662692,0.010452476,0.002492704,0.0019637850,0.020691434,0.0829106390,0.006929952,0.006844669,0.003721772,0.005054142,0.006446240,0.011484168
,,Testing R2,0.006125239,0.029435714,0.013106265,0.002909489,0.0000601088,0.024774045,0.0429775430,0.012740832,0.011301583,0.006539772,0.010978348,0.006736431,0.026294055
,Standard Deviation,Training R2,0.003554652,0.109560366,0.023835613,0.000731405,0.0000045171,0.128489846,0.0192460780,0.005253543,0.006666663,0.003979870,0.006677946,0.126603535,0.050198221
,,Validation R2,0.002267102,0.023620887,0.002797844,0.001310929,0.0016264210,0.003621666,0.0042328410,0.002011548,0.002087757,0.001638603,0.001022264,0.001557439,0.003007453
,,Testing R2,0.005308848,0.002691011,0.005871067,0.002618650,0.0000672741,0.006161963,0.0176472290,0.010159515,0.008914201,0.004948930,0.009473923,0.008637592,0.014381135
LDL,Data Set 1,Training R2,0.913207069,0.000227255,0.522105829,0.838586334,0.0008210130,0.623585817,0.2416320870,0.898059992,0.898059900,0.925228524,0.898059958,0.6879923,0.882737509
,,Validation R2,0.000760835,0.010652323,0.000290867,0.000224548,0.0003289420,0.006573819,0.0227132710,0.001068760,0.001068759,0.001358388,0.001068759,9.73E-06,0.000722642
,,Testing R2,0.025347660,0.005731483,0.002420231,0.015928203,0.0045927870,0.006509750,0.0395092120,0.038254668,0.038254640,0.018297100,0.038254635,0.01576474,0.040236499
,Data Set 2,Training R2,0.832605476,0.654412264,0.888742004,0.803892185,0.0003951500,0.712853283,0.3050376080,0.753397022,0.753397100,0.866843689,0.753397078,0.5139991,0.716488284
,,Validation R2,0.012378250,0.035103648,0.015563078,0.011510663,0.0004268330,0.008043722,0.0338648000,0.010907590,0.010907580,0.013041167,0.010907576,5.53E-06,0.009196497
,,Testing R2,0.000059931,0.009328708,0.000755843,0.000953996,0.0015396690,0.000757363,0.0278254770,0.000055668,0.000055668,0.000322120,0.000055666,1.06E-07,0.001053101
,Data Set 3,Training R2,0.897214608,0.456444389,0.909693595,0.834706010,0.0000147974,0.672501251,0.0869313170,0.861869107,0.861869100,0.899029791,0.861869137,0.526459,0.845000262
,,Validation R2,0.001328385,0.022167972,0.002637771,0.001577951,0.0099611250,0.001478386,0.0374435390,0.000204187,0.000204186,0.003078431,0.000204186,0.0003804398,0.000003852
,,Testing R2,0.013767670,0.032966610,0.007364965,0.006235095,0.0013009350,0.017979476,0.0389750380,0.030004921,0.030004900,0.011173126,0.030004901,0.002638694,0.032739325
,Average,Training R2,0.881009051,0.370361302,0.773513809,0.825728176,0.0004103200,0.669646784,0.2112003370,0.837775373,0.837775367,0.897034002,0.837775391,0.576150133,0.814742018
,,Validation R2,0.004822490,0.022641314,0.006163905,0.004437721,0.0035723000,0.005365309,0.0313405360,0.004060179,0.004060175,0.005825995,0.004060174,0.000131899,0.003307664
,,Testing R2,0.013058420,0.016008934,0.003513679,0.007705765,0.0024777970,0.008415530,0.0354365760,0.022771752,0.022771736,0.009930782,0.022771734,0.006134513,0.024676308
,Standard Deviation,Training R2,0.042674574,0.335480595,0.217977572,0.019009790,0.0004033220,0.044702138,0.1121925000,0.075280972,0.075280890,0.029243540,0.075280931,0.097058307,0.087157169
,,Validation R2,0.006549630,0.012232533,0.008224070,0.006162614,0.0055331010,0.003445473,0.0076827160,0.005945767,0.005945762,0.006307429,0.005945760,0.000215253,0.005112527
,,Testing R2,0.012658775,0.014795510,0.003437564,0.007594660,0.0018355210,0.008767798,0.0065968140,0.020100496,0.020100482,0.009051660,0.020100481,0.008443725,0.020798891
TC,Data Set 1,Training R2,0.840191683,0.731541755,0.843724657,0.788398300,0.0000002264,0.651612440,0.1970276960,0.766042691,0.766042400,0.852110211,0.766042407,0.513342,0.360996000
,,Validation R2,0.020183191,0.066110653,0.019929302,0.008331118,0.0014665680,0.004167210,0.0336906770,0.023913178,0.023913150,0.020608558,0.023913157,0.001622517,0.012314710
,,Testing R2,0.006783575,0.013804776,0.006144449,0.006312365,0.0049376740,0.003161220,0.0348638140,0.006156116,0.006156127,0.006008668,0.006156124,0.001261165,0.010429830
