,,,Baseline GWAS,PROSPER,Lassosum2-ExtLD,PRSCSX,TL-Multi,Lassosum-TrueLD,MultiPopPred-GWAS-Vanilla,MultiPopPred-GWAS-ExtLD,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS-Vanilla,MultiPopPred-PRS-Vanilla-TrueLD
,Data Set 2,Training R2,0.8501704,0.661302,0.8388328,0.8099285733,0.007818950128,0.7703462672,0.7703463211,0.8775146737,0.7703463472,0.5858677509,0.7565938337
,,Validation R2,--,0.5383203,0.03884171,0.02720907693,0.01290640472,0.03354509556,0.03354510682,0.03382204388,0.03354510628,0.03874320831,0.03241334656
,,Testing R2,0.02521018,0.03754008,0.03726941,0.02772306457,0.0187564245,0.02019367781,0.02019367952,0.02538654104,0.02019368145,0.02398229222,0.02142228504
,Data Set 3,Training R2,0.9018939,0.852683,0.8834631,0.8384188371,0.008407805973,0.8762012374,0.87620126,0.9181254466,0.8762012808,0.5944493964,0.8639309216
,,Validation R2,--,0.4814594,0.0386705,0.01634298885,0.03753355342,0.01416387152,0.01416387641,0.01665630748,0.01416387665,0.04308188964,0.01482420348
,,Testing R2,0.03544826,0.050515,0.02842211,0.02115964461,0.02353822964,0.04586531366,0.04586531919,0.03362940004,0.04586531908,0.05268319927,0.04447901587
,Average,Training R2,0.8921165667,0.7716369667,0.8714087667,0.8297378485,0.008693842063,0.8532117867,0.8532118039,0.9086374257,0.8532118246,0.6563659903,0.8406225924
,,Validation R2,--,0.5275757333,0.03963548333,0.02030266303,0.02300641676,0.02175907049,0.02175907513,0.02486912125,0.02175907534,0.03487810856,0.02082495848
,,Testing R2,0.03673355667,0.04349689667,0.03264933333,0.0331426916,0.02440597309,0.04256982032,0.04256982081,0.03600610979,0.04256982067,0.0401359557,0.04300757438
,Standard Deviation,Training R2,0.03801257018,0.09899521707,0.02852751296,0.01719892013,0.001047617874,0.07409572451,0.07409568784,0.02762887818,0.07409568261,0.114754857,0.07513681216
,,Validation R2,--,0.0417930843,0.001525531703,0.006002534779,0.01289665412,0.01034795772,0.01034796278,0.008606767532,0.0103479622,0.01067471088,0.01003796399
,,Testing R2,0.01221683899,0.006552242692,0.004436713832,0.01542431255,0.006129660413,0.02092394803,0.02092394492,0.01198597607,0.02092394287,0.01468639556,0.02088847447
TC,Data Set 1,Training R2,0.8645557,0.7010628,0.820568,0.7949796395,0.01158472083,0.8170169789,0.8170168431,0.8692348392,0.8170168581,0.6261874809,0.815434539
,,Validation R2,--,0.5169622,0.059676,0.04040638041,0.01975239521,0.05239133448,0.05239134295,0.03837580345,0.05239134207,0.02524910426,0.05290341776
,,Testing R2,0.0347044,0.03789046,0.02914104,0.03130151141,0.02355179291,0.03510343945,0.03510341552,0.03458151635,0.03510341725,0.04045362315,0.03508706504
,Data Set 2,Training R2,0.8640898,0.7034363,0.8337106,0.7946628018,0.01054629882,0.8175608234,0.8175606896,0.871440768,0.8175607051,0.7081488464,0.8159014342
