"Area under PR Curve
(Average Precision)",,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+,,Area under ROC,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+
Asthma,Data Set 1,Training R2,0.068291952,0.152303008,0.778357419,0.144140939,0.130309351,0.990477333,0.063087600,0.129418782,0.1353529503,0.1375619104,NA,0.1347041481,0.1352034777,0.1292326916,,Asthma,Data Set 1,Training R2,0.158653553,0.577351833,0.932039509,0.549529247,0.524298820,0.998648129,0.020559211,0.516327879,0.5366094523,0.5381159563,NA,0.5335774081,0.5329782037,0.5198806394
,,Validation R2,0.172858657,0.406379037,0.171676657,0.171166666,0.180062066,0.118258917,0.134966173,0.110828158,0.1816753914,0.197313344,NA,0.1705944098,0.168947956,0.1703115926,,,,Validation R2,0.580157768,0.753034534,0.591280475,0.581502271,0.582320255,0.478455044,0.546488779,0.477613554,0.5834861178,0.5979935878,NA,0.5848588272,0.5802987993,0.5818125405
,,Testing R2,0.123617569,0.103127107,0.129055552,0.125904020,0.124679443,0.134517168,0.121756152,0.11291432,0.1254980722,0.135358825,NA,0.129169618,0.1269575005,0.1255334325,,,,Testing R2,0.516392045,0.444829545,0.519337121,0.520757576,0.514450758,0.519393939,0.505284091,0.485037879,0.5133522727,0.5451420455,NA,0.5260606061,0.5220549242,0.5209848485
,Data Set 2,Training R2,0.069500986,0.183387156,0.821101367,0.179840028,0.130665145,0.976318213,0.165921939,0.120210647,0.1353088389,0.1377448529,NA,0.1343072856,0.1344657814,0.1363080758,,,Data Set 2,Training R2,0.179858241,0.626068669,0.946917993,0.601611116,0.524414209,0.995934724,0.605810525,0.499425396,0.5367904437,0.5405549464,NA,0.5323608417,0.5306739321,0.5348853487
,,Validation R2,0.173402267,0.412284060,0.173446026,0.171800949,0.179125513,0.120052992,0.128831039,0.124367043,0.1813744997,0.1904424135,NA,0.1685856273,0.1681482206,0.1712630576,,,,Validation R2,0.579668857,0.770165195,0.594448989,0.581267218,0.580129561,0.504113427,0.527637529,0.50638874,0.5834109008,0.5934241578,NA,0.5823108529,0.5805338523,0.5815492812
,,Testing R2,0.123997114,0.110195061,0.127764899,0.126314795,0.124930346,0.143500414,0.121373299,0.116575625,0.125736159,0.1300411297,NA,0.1267777082,0.1252485867,0.1256649346,,,,Testing R2,0.517500000,0.479611742,0.520662879,0.519583333,0.515151515,0.540899621,0.497575758,0.493181818,0.5133522727,0.5357859848,NA,0.5220833333,0.5214109848,0.5210511364
,Data Set 3,Training R2,0.289893969,0.087212070,0.070479585,0.066120242,0.120902813,0.902580324,0.297428291,0.122150859,0.1164708872,0.1205045043,NA,0.1206530676,0.1216260945,0.12110567,,,Data Set 3,Training R2,0.723339507,0.360937149,0.196562746,0.114043581,0.497691335,0.978860036,0.745737625,0.503169984,0.4837933676,0.5030862245,NA,0.5032900594,0.4992013537,0.4989699894
,,Validation R2,0.177006085,0.221289255,0.175627790,0.175450492,0.175446816,0.126804356,0.145778295,0.116534091,0.1751451797,0.1777264357,NA,0.1808124709,0.174983493,0.1752638356,,,,Validation R2,0.598228641,0.652601096,0.606333268,0.606511908,0.604123769,0.531088107,0.548547843,0.490997471,0.6046314839,0.6039451292,NA,0.5975140797,0.5987833658,0.5987363552
,,Testing R2,0.121560870,0.133006786,0.119614789,0.118076944,0.123859947,0.134087032,0.124779372,0.116736805,0.1244464544,0.1267074576,NA,0.1245131727,0.1209792063,0.1214563731,,,,Testing R2,0.498948864,0.501477273,0.504507576,0.500217803,0.510785985,0.546543561,0.478617424,0.493371212,0.5096590909,0.5204261364,NA,0.5082954545,0.5008143939,0.5015530303
,Average,Training R2,0.142562302,0.140967411,0.556646123,0.130033736,0.127292436,0.956458623,0.175479277,0.123926763,0.1290442255,0.1319370892,NA,0.1298881671,0.1304317845,0.1288821458,,,Average,Training R2,0.353950434,0.521452550,0.691840083,0.421727981,0.515468121,0.991147630,0.457369120,0.506307753,0.5190644212,0.5272523757,NA,0.5230761031,0.5209511632,0.5179119925
,,Validation R2,0.174422336,0.346650784,0.173583491,0.172806036,0.178211465,0.121705422,0.136525169,0.117243097,0.1793983569,0.1884940644,NA,0.173330836,0.1706932232,0.1722794953,,,,Validation R2,0.586018422,0.725266942,0.597354244,0.589760465,0.588857862,0.504552193,0.540891384,0.491666588,0.5905095008,0.5984542916,NA,0.5882279199,0.5865386725,0.587366059
,,Testing R2,0.123058518,0.115442985,0.125478413,0.123431920,0.124489912,0.137368205,0.122636275,0.115408917,0.1252268952,0.1307024708,NA,0.1268201663,0.1243950978,0.1242182467,,,,Testing R2,0.510946970,0.475306187,0.514835859,0.513519571,0.513462753,0.535612374,0.493825758,0.490530303,0.5121212121,0.5337847222,NA,0.5188131313,0.514760101,0.5145296717
,Standard Deviation,Training R2,0.127594398,0.049079360,0.421574654,0.058157607,0.005536435,0.047193999,0.117462321,0.004854154,0.01088885269,0.009901331474,NA,0.008000292006,0.007634866149,0.007607262802,,,Standard Deviation,Training R2,0.320075968,0.141128410,0.428987264,0.267731952,0.015395256,0.010727505,0.384703875,0.008877369,0.03054576246,0.0209640005,NA,0.01714600975,0.01887109099,0.01803842944
,,Validation R2,0.002254040,0.108606409,0.001979150,0.002312021,0.002439620,0.004505998,0.008580514,0.006797233,0.003686430675,0.009937745844,NA,0.006556671974,0.003736937956,0.00262793395,,,,Validation R2,0.010577185,0.063510698,0.007935806,0.014507651,0.013265962,0.026319275,0.011524254,0.014399258,0.01223005394,0.005275594371,NA,0.008142334781,0.0106048667,0.009847845099
,,Testing R2,0.001310811,0.015615836,0.005118888,0.004642090,0.000559804,0.005315002,0.001865823,0.002161887,0.0006862850855,0.004363435391,NA,0.00232851297,0.003079177296,0.002392756259,,,,Testing R2,0.010405422,0.028568245,0.008969085,0.011534621,0.002344478,0.014326260,0.013723143,0.004757521,0.002132259517,0.01247889537,NA,0.009323133488,0.01208162753,0.01123815
Dyslipidemia,Data Set 1,Training R2,0.687299962,0.779235916,0.857350964,0.710522929,0.562007103,0.886125161,0.376499794,0.398179629,0.6031827461,0.6340850641,NA,0.6407920886,0.5622983618,0.8283913086,,Dyslipidemia,Data Set 1,Training R2,0.779142669,0.843014120,0.898863491,0.794539867,0.688005710,0.915089590,0.477104885,0.497154786,0.7182336739,0.7405892442,NA,0.7452401376,0.6866125105,0.8787735188
,,Validation R2,0.565553038,0.656116729,0.569462853,0.567689771,0.566283625,0.407850648,0.481954090,0.383643369,0.5642282028,0.5641355165,NA,0.564798454,0.5678284567,0.5696396996,,,,Validation R2,0.699295168,0.747613437,0.703616585,0.701893014,0.698649869,0.491892139,0.581230563,0.479034051,0.6995699399,0.6996532042,NA,0.6999571189,0.7003318082,0.7021344802
,,Testing R2,0.612218252,0.597577635,0.617628697,0.615538458,0.610230467,0.421592612,0.463595644,0.412498532,0.6082977862,0.6083136564,NA,0.6081570141,0.6062442751,0.6207660778,,,,Testing R2,0.696862500,0.688587500,0.696220833,0.694291667,0.694258333,0.531891667,0.562683333,0.514583333,0.6948708333,0.6952333333,NA,0.6952958333,0.6925875,0.7014666667
,Data Set 2,Training R2,0.760499779,0.834914793,0.843181908,0.729462436,0.559015968,0.828902805,0.693763278,0.39994944,0.680664613,0.6871385437,NA,0.684694443,0.5628188807,0.7538687805,,,Data Set 2,Training R2,0.839646682,0.890559876,0.899138822,0.817628230,0.687100867,0.872485700,0.779354402,0.499208909,0.7802249905,0.7850156176,NA,0.7832317841,0.6899745196,0.835296455
,,Validation R2,0.609121746,0.665257013,0.611526638,0.612427439,0.608964732,0.433218975,0.467439183,0.386051461,0.6068092964,0.6045649806,NA,0.6043882782,0.6080272503,0.6072864842,,,,Validation R2,0.712696556,0.760706747,0.715510889,0.713516709,0.711868076,0.551030604,0.569128098,0.481939975,0.7137373594,0.7136790744,NA,0.7135708309,0.7110604124,0.7139538466
,,Testing R2,0.537168689,0.511993151,0.539412269,0.546190771,0.537486151,0.401742558,0.412659270,0.409063313,0.5385318742,0.5405030568,NA,0.5398818896,0.5368229339,0.5431749192,,,,Testing R2,0.658220833,0.624887500,0.659233333,0.663320833,0.656291667,0.508575000,0.517241667,0.510416667,0.6567916667,0.6573333333,NA,0.6576375,0.6584333333,0.6604125
,Data Set 3,Training R2,0.777760395,0.842652422,0.850991252,0.755868078,0.558659256,0.828284817,0.679314875,0.400271022,0.6870346855,0.6897483829,NA,0.6871054208,0.5631529812,0.8042662554,,,Data Set 3,Training R2,0.852213918,0.892823922,0.904633676,0.836836110,0.686925328,0.869093443,0.761391328,0.499585065,0.7850125153,0.7868922621,NA,0.7849388352,0.6894910749,0.8715371009
,,Validation R2,0.608721080,0.673008403,0.612653370,0.612950149,0.608027175,0.439203983,0.453297471,0.407088934,0.6077381476,0.6041002847,NA,0.6058994726,0.6077398742,0.6072854416,,,,Validation R2,0.712696556,0.755831623,0.715639949,0.715111220,0.712126195,0.542595931,0.574053181,0.506940079,0.7141411913,0.7138747455,NA,0.7138997248,0.712604965,0.7150820778
,,Testing R2,0.536806524,0.509189538,0.539543502,0.546055244,0.537854534,0.400563827,0.409904834,0.397121972,0.5381409553,0.5402708311,NA,0.5395576263,0.5385677831,0.5437970457,,,,Testing R2,0.658200000,0.642320833,0.658416667,0.662558333,0.656504167,0.507641667,0.513620833,0.496666667,0.6564958333,0.657625,NA,0.6579291667,0.658025,0.6600166667
,Average,Training R2,0.741853379,0.818934377,0.850508041,0.731951148,0.559894109,0.847770928,0.583192649,0.399466697,0.6569606815,0.6703239969,NA,0.6708639841,0.5627567413,0.7955087815,,,Average,Training R2,0.823667756,0.875465973,0.900878663,0.816334736,0.687343968,0.885556244,0.672616872,0.498649586,0.7611570599,0.7708323746,NA,0.771136919,0.6886927017,0.8618690249
,,Validation R2,0.594465288,0.664794049,0.597880954,0.597689119,0.594425178,0.426757869,0.467563581,0.392261255,0.5929252156,0.590933594,NA,0.5916954016,0.5945318604,0.5947372085,,,,Validation R2,0.708229426,0.754717269,0.711589141,0.710173648,0.707548047,0.528506225,0.574803947,0.489304702,0.7091494969,0.7090690081,NA,0.7091425582,0.7079990619,0.7103901348
,,Testing R2,0.562064488,0.539586775,0.565528156,0.569261491,0.561857051,0.407966332,0.428719916,0.406227939,0.5616568719,0.5630291814,NA,0.5625321767,0.5605449973,0.5692460142,,,,Testing R2,0.671094444,0.651931944,0.671290278,0.673390278,0.669018056,0.516036111,0.531181944,0.507222222,0.6693861111,0.6700638889,NA,0.6702875,0.6696819444,0.6739652778
,Standard Deviation,Training R2,0.048026437,0.034596873,0.007096876,0.022774786,0.001838578,0.033217177,0.179146982,0.001126172,0.04668184022,0.03141095358,NA,0.02607091058,0.0004306849882,0.03802527857,,,Standard Deviation,Training R2,0.039068484,0.028126918,0.003254849,0.021177769,0.000579767,0.025632806,0.169556394,0.001308127,0.03724973687,0.02620812192,NA,0.02244350618,0.001817643019,0.02329522566
,,Validation R2,0.025039544,0.008455348,0.024617244,0.025981513,0.024375807,0.016645339,0.014328715,0.012897472,0.02485668115,0.02320897888,NA,0.02330569181,0.02312627236,0.02173508026,,,,Validation R2,0.007737295,0.006617404,0.006904738,0.007215420,0.007707128,0.031987956,0.006086062,0.015341643,0.008298596482,0.008154912217,NA,0.007956523367,0.006684795805,0.007171826972
,,Testing R2,0.043434811,0.050241119,0.045120440,0.040077086,0.041893012,0.011815412,0.030234649,0.008070883,0.04039268956,0.03921767762,NA,0.0395126009,0.03958635009,0.04461876815,,,,Testing R2,0.022315793,0.032919638,0.021594355,0.018105148,0.021858980,0.013739242,0.027341008,0.009375772,0.02207091252,0.02179786612,NA,0.02165834295,0.01983784365,0.02381772374
Morning Person,Data Set 1,Training R2,0.645247346,0.431046277,0.431046277,0.589229906,0.639230106,0.988372112,0.642614723,0.60565457,0.6408642022,0.6439851211,NA,0.6439862613,0.6362568194,0.6390730279,,Morning Person,Data Set 1,Training R2,0.551712437,0.171999297,0.171999297,0.478994752,0.545243694,0.982588773,0.544833913,0.496474862,0.547236741,0.551393544,NA,0.5513941951,0.5412302564,0.5451266326
,,Validation R2,0.652858008,0.652595772,0.652595772,0.652098292,0.654467548,0.621851530,0.628027071,0.612019735,0.6543097712,0.6546492247,NA,0.6546492247,0.6505015903,0.6542444802,,,,Validation R2,0.573769804,0.576379565,0.576379565,0.574122248,0.575271885,0.512006159,0.532328310,0.506511815,0.5754103451,0.575393562,NA,0.575393562,0.575099859,0.5752886681
,,Testing R2,0.646161878,0.647314528,0.647314528,0.645435050,0.644979166,0.640474375,0.621801374,0.61448978,0.6460091501,0.6458232695,NA,0.6458216376,0.6407127587,0.6459634487,,,,Testing R2,0.550093146,0.554402189,0.554402189,0.550244193,0.547634432,0.531493354,0.507002719,0.510422261,0.5463924879,0.545838648,NA,0.5458344522,0.541068072,0.5464847946
,Data Set 2,Training R2,0.480444161,0.508830390,0.508830390,0.537970251,0.635945373,0.907209735,0.854454811,0.61126517,0.6366368393,0.6366506022,NA,0.6366501978,0.6361370346,0.6365197437,,,Data Set 2,Training R2,0.294633124,0.348456190,0.348456190,0.398378322,0.535103455,0.864769587,0.795105668,0.505597875,0.5372570543,0.5372254125,NA,0.5372254125,0.5367779991,0.5370937667
,,Validation R2,0.700620082,0.708162186,0.708162186,0.703867451,0.700801213,0.620336616,0.646831576,0.612814596,0.7001930552,0.7001298762,NA,0.7001105314,0.6992361911,0.700121802,,,,Validation R2,0.594920616,0.599682801,0.599682801,0.593838111,0.595608720,0.534812198,0.540837305,0.507787325,0.5946772624,0.5946185218,NA,0.5946185218,0.5955835459,0.5946017387
,,Testing R2,0.632425209,0.629773066,0.629773066,0.632816570,0.636435230,0.645389451,0.634417985,0.59212047,0.6378489634,0.637655592,NA,0.6376568542,0.6359229663,0.6377789751,,,,Testing R2,0.548238621,0.547311359,0.547311359,0.551414809,0.549312735,0.527305988,0.521385775,0.473935956,0.552060956,0.5520399772,NA,0.5520441729,0.5499253155,0.5520315857
,Data Set 3,Training R2,0.475154495,0.551942001,0.525632856,0.506988233,0.636206327,0.987868525,0.673792427,0.610860322,0.6366299748,0.63666789,NA,0.6366719767,0.6364913979,0.6365131913,,,Data Set 3,Training R2,0.283509642,0.427139081,0.377701212,0.345980051,0.535739287,0.981392893,0.576992330,0.504967772,0.5372610909,0.5372509343,NA,0.5372508041,0.5370657708,0.5371045744
,,Validation R2,0.701031496,0.782284210,0.707950418,0.705372547,0.699917953,0.615860656,0.633608528,0.605394943,0.7001220821,0.7000623571,NA,0.7000623571,0.6995577885,0.7001280981,,,,Validation R2,0.595138796,0.701732009,0.597320589,0.594534607,0.594417125,0.501279706,0.527230465,0.495686762,0.594597543,0.594597543,NA,0.594597543,0.5956296992,0.5945849557
,,Testing R2,0.632651993,0.621347285,0.631497412,0.630638183,0.636968851,0.614910462,0.606447316,0.590536888,0.6378396956,0.6376472191,NA,0.637654845,0.6357390541,0.6377525382,,,,Testing R2,0.548490367,0.514668367,0.549975665,0.549136513,0.549212037,0.512654404,0.498489527,0.471804511,0.5520693475,0.5520441729,NA,0.5520483687,0.549346301,0.5520148026
,Average,Training R2,0.533615334,0.497272889,0.488503174,0.544729463,0.637127269,0.961150124,0.723620654,0.609260021,0.6380436721,0.6391012044,NA,0.6391028119,0.6362950839,0.6373686543,,,Average,Training R2,0.376618401,0.315864856,0.299385566,0.407784375,0.538695479,0.942917084,0.638977304,0.502346836,0.5405849621,0.5419566303,NA,0.5419568039,0.5383580088,0.5397749912
,,Validation R2,0.684836528,0.714347389,0.689569459,0.687112763,0.685062238,0.619349601,0.636155725,0.610076425,0.6848749695,0.6849471527,NA,0.6849407044,0.6830985233,0.6848314601,,,,Validation R2,0.587943072,0.625931458,0.591127652,0.587498322,0.588432577,0.516032688,0.533465360,0.503328634,0.5882283835,0.5882032089,NA,0.5882032089,0.5887710347,0.5881584542
,,Testing R2,0.637079693,0.632811626,0.636195002,0.636296601,0.639461083,0.633591429,0.620888892,0.599049046,0.6405659364,0.6403753602,NA,0.6403777789,0.6374582597,0.6404983207,,,,Testing R2,0.548940711,0.538793972,0.550563071,0.550265172,0.548719735,0.523817915,0.508959340,0.485387576,0.5501742638,0.549974266,NA,0.5499756646,0.5467798962,0.550177061
,Standard Deviation,Training R2,0.096712330,0.061270922,0.050463373,0.041535387,0.001825779,0.046714426,0.114373052,0.003128967,0.002442653148,0.004229604709,NA,0.004229205198,0.0001802538901,0.001476034464,,,Standard Deviation,Training R2,0.151737846,0.130654979,0.111284608,0.067004351,0.005679826,0.067680359,0.136163837,0.005095029,0.005760609889,0.008172617019,NA,0.008173030401,0.002491597459,0.004634660503
,,Validation R2,0.027694975,0.065065085,0.032020327,0.030332758,0.026499459,0.003115011,0.009657562,0.004073715,0.02647026199,0.02623879703,NA,0.02623320199,0.02823022998,0.02648910184,,,,Validation R2,0.012274895,0.066671229,0.012826713,0.011589253,0.011413055,0.017125031,0.006874314,0.006648714,0.01110081844,0.01109348458,NA,0.01109348458,0.01183960795,0.01114556484
,,Testing R2,0.007866220,0.013247606,0.009668311,0.007988728,0.004786243,0.016363783,0.014007642,0.013395489,0.004713963675,0.0047180297,NA,0.004714519993,0.002819978497,0.004732958175,,,,Testing R2,0.001005944,0.021192063,0.003581725,0.001139293,0.000941247,0.009891992,0.011572848,0.02170685,0.003275116661,0.003581550917,NA,0.00358639576,0.00495504957,0.003197607494
Type 2 Diabetes,Data Set 1,Training R2,0.999193247,0.929859596,0.983420484,0.783188321,0.393269263,0.961921393,0.717635046,0.304052408,0.3932997032,0.3944173048,NA,0.3945266116,0.393349578,0.3932649823,,Type 2 Diabetes,Data Set 1,Training R2,0.999596236,0.963681862,0.992009126,0.881440246,0.626574124,0.980672284,0.841356836,0.502129152,0.6265707355,0.6271144396,NA,0.6274112599,0.6265562996,0.6265452517
,,Validation R2,0.447173179,0.507607008,0.454945821,0.437560589,0.429452213,0.311398621,0.359660532,0.305291618,0.4294142546,0.4283223926,NA,0.4295023711,0.4285945938,0.4294628894,,,,Validation R2,0.675923642,0.723913167,0.671834380,0.663565722,0.658508700,0.524995730,0.556628209,0.50305983,0.6584565172,0.658655762,NA,0.6591206664,0.658404334,0.6584517733
,,Testing R2,0.440370075,0.386961977,0.431292918,0.431189666,0.425193800,0.357468761,0.341250519,0.292415556,0.4253714011,0.4270111556,NA,0.4269829744,0.4242790889,0.4253539526,,,,Testing R2,0.660012524,0.622820167,0.657085523,0.651008558,0.639172470,0.565357028,0.535422873,0.490754094,0.6392436289,0.6399030342,NA,0.63954724,0.6394001784,0.6392436289
,Data Set 2,Training R2,0.998840729,0.979586292,0.976515561,0.774756818,0.393317636,0.565002692,0.515227143,0.303339876,0.3932687683,0.393400298,NA,0.3931083865,0.3921898375,0.3932832155,,,Data Set 2,Training R2,0.999425656,0.988891408,0.988448313,0.877191959,0.626505627,0.752974574,0.715520344,0.501417225,0.6265322888,0.626583993,NA,0.6263430014,0.6243643958,0.6265238924
,,Validation R2,0.445250664,0.571065088,0.448696982,0.436752044,0.428676476,0.333917202,0.348700622,0.310228473,0.428995176,0.4288591909,NA,0.4291857841,0.4311199093,0.428959256,,,,Validation R2,0.674011841,0.753059830,0.672968178,0.663940492,0.658409078,0.546834380,0.555072203,0.507357825,0.658409078,0.6583758705,NA,0.6584138219,0.6586462741,0.6583853584
,,Testing R2,0.437838683,0.372078548,0.415583235,0.434892773,0.424573190,0.343119385,0.345998889,0.299737371,0.4253226828,0.4250661886,NA,0.4239428305,0.4183433782,0.4253416337,,,,Testing R2,0.658978349,0.594721911,0.642018824,0.646843394,0.639376459,0.543610884,0.542225659,0.497822539,0.639300556,0.6393954344,NA,0.6392104215,0.636525361,0.6393337634
,Data Set 3,Training R2,0.890085819,0.405337649,0.521923199,0.409419153,0.389799446,0.798747815,0.666344989,0.299367903,0.3898568117,0.3915000101,NA,0.3924854635,0.3889958,0.3898107384,,,Data Set 3,Training R2,0.963413766,0.644863116,0.747795244,0.655164180,0.635000580,0.902025508,0.823454078,0.497748879,0.6349970443,0.6351344802,NA,0.6333657847,0.6351408144,0.6349647844
,,Validation R2,0.435968392,0.465945965,0.443249273,0.437132551,0.435857259,0.366250195,0.376385403,0.315283532,0.4368618752,0.4358275037,NA,0.441906415,0.4404999632,0.4366737179,,,,Validation R2,0.670074385,0.680601150,0.669334333,0.664794398,0.664429116,0.569904078,0.588070931,0.512054308,0.6645666901,0.6668200535,NA,0.6709330348,0.665681512,0.6645050191
,,Testing R2,0.404055807,0.387134740,0.394619896,0.384600486,0.383258129,0.364775331,0.356815591,0.309528472,0.3829340202,0.3859540091,NA,0.3807013014,0.3813826305,0.3829258143,,,,Testing R2,0.637891611,0.627829750,0.630315566,0.623664586,0.621895102,0.560399628,0.550579707,0.506465967,0.621733809,0.6233467428,NA,0.6196607146,0.6186644908,0.6217622725
,Average,Training R2,0.962706598,0.771594513,0.827286415,0.655788097,0.392128782,0.775223966,0.633069059,0.302253396,0.392141761,0.393105871,NA,0.3933734872,0.3915117385,0.3921196454,,,Average,Training R2,0.987478553,0.865812129,0.909417561,0.804598795,0.629360110,0.878557455,0.793443752,0.500431752,0.6293666896,0.629610971,NA,0.6290400154,0.6286871699,0.6293446429
,,Validation R2,0.442797412,0.514872687,0.448964026,0.437148395,0.431328649,0.337188673,0.361582185,0.310267874,0.431757102,0.4310030291,NA,0.4335315234,0.4334048221,0.4316986211,,,,Validation R2,0.673336622,0.719191383,0.671378964,0.664100204,0.660448965,0.547244730,0.566590448,0.507490654,0.6604774284,0.6612838953,NA,0.6628225077,0.6609107067,0.6604473836
,,Testing R2,0.427421521,0.382058422,0.413832017,0.416894308,0.411008373,0.355121159,0.348021666,0.300560466,0.411209368,0.4126771178,NA,0.4105423688,0.4080016992,0.4112071335,,,,Testing R2,0.652294161,0.615123943,0.643139971,0.640505512,0.633481344,0.556455847,0.542742747,0.498347533,0.633425998,0.6342150705,NA,0.6328061254,0.6315300101,0.633446555
,Standard Deviation,Training R2,0.062891687,0.318160736,0.264474837,0.213403409,0.002017409,0.199502237,0.105226923,0.002524178,0.001978884626,0.001480765845,NA,0.001046078468,0.002254708295,0.0019995929,,,Standard Deviation,Training R2,0.020840891,0.191762170,0.139980355,0.129431604,0.004884910,0.115648709,0.068074741,0.002350545,0.004876068152,0.00479084642,NA,0.003784112104,0.005695459211,0.004867197109
,,Validation R2,0.005991715,0.052934866,0.005852845,0.000404506,0.003941024,0.027571737,0.013942071,0.004996074,0.004425826381,0.004186729568,NA,0.007254596032,0.006272963806,0.004315912732,,,,Validation R2,0.002982514,0.036459382,0.001859237,0.000629716,0.003447272,0.022456986,0.018618906,0.00449871,0.00354148391,0.004796495634,NA,0.007032808433,0.004133409115,0.003514172326
,,Testing R2,0.020274848,0.008643256,0.018399123,0.028028494,0.024034419,0.011017188,0.007977255,0.008586099,0.02448718167,0.02316331427,NA,0.02588778853,0.02324304796,0.02449234165,,,,Testing R2,0.012483688,0.017845340,0.013420149,0.014732609,0.010034498,0.011396874,0.007591636,0.007869082,0.01012577268,0.009415669077,NA,0.01138550522,0.01123420372,0.01011898577
