"Area under PR Curve
(Average Precision)",,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+,,Area under ROC,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+
,,Validation R2,0.444554478,0.538158327,0.444980175,0.450288712,0.436747684,0.385886574,0.386820612,0.358912049,0.4332986749,0.4385846518,NA,0.4364776688,0.4333747581,0.4350799522,,,,Validation R2,0.603104745,0.681880787,0.592050058,0.595104167,0.590915799,0.522732928,0.528164063,0.498321759,0.5901721644,0.5962022569,NA,0.5949725116,0.5890089699,0.5909505208
,,Testing R2,0.378158261,0.388074834,0.379445572,0.372280240,0.382116211,0.364558048,0.363894577,0.361110291,0.3869384835,0.385364738,NA,0.3846387354,0.3820696751,0.3873629556,,,,Testing R2,0.520477951,0.528522319,0.521212016,0.521011160,0.534221436,0.498890233,0.498804255,0.500006503,0.5389914123,0.5385347893,NA,0.53634271,0.5315611738,0.5379799057
,Standard Deviation,Training R2,0.380182354,0.109827701,0.055344805,0.027284015,0.005175039,0.038653324,0.075822054,0.002403112,0.0264860246,0.04025144927,NA,0.04010755158,0.2034998776,0.01079606672,,,Standard Deviation,Training R2,0.311940706,0.078385156,0.037918290,0.021268588,0.005766578,0.026216369,0.049521103,0.00293511,0.04412615594,0.05334180181,NA,0.05190530923,0.1698194214,0.0204396337
,,Validation R2,0.038762975,0.016351336,0.033637912,0.032941039,0.031137875,0.019504575,0.012993938,0.016289525,0.02780297312,0.031927797,NA,0.03086076608,0.02484290698,0.02931732035,,,,Validation R2,0.035740290,0.017582888,0.026110202,0.025172403,0.025632227,0.014589409,0.013981623,0.020008696,0.02498487616,0.02652447088,NA,0.0252358726,0.02216824071,0.02464282331
,,Testing R2,0.007259765,0.002967310,0.006030040,0.007939999,0.004844392,0.003697542,0.005301630,0.006486156,0.00246380762,0.0008249440799,NA,0.0007049601472,0.005764691828,0.001948384506,,,,Testing R2,0.024200031,0.002861473,0.031191579,0.024522195,0.015506688,0.005641498,0.011369164,0.007908922,0.01090762648,0.01277412466,NA,0.01230008199,0.01890523449,0.009915888436
Educational Qualifications,Data Set 1,Training R2,0.997309376,0.989966492,0.990423044,0.904073565,0.457862602,0.936463621,0.910307030,0.387493655,0.915736238,0.9157525716,NA,0.9157440266,0.5340348997,0.9865861941,,Educational Qualifications,Data Set 1,Training R2,0.998156284,0.993150204,0.992682452,0.925741502,0.575398701,0.957248691,0.938822060,0.491236176,0.9358681633,0.9358794704,NA,0.9358745317,0.641748819,0.9894383386
,,Validation R2,0.540980467,0.564477737,0.513757410,0.491234729,0.474463655,0.445694930,0.455869789,0.407136567,0.4993067348,0.4992928103,NA,0.4992593344,0.477060317,0.5147868926,,,,Validation R2,0.646450051,0.679026151,0.628344307,0.601786702,0.584686134,0.561064482,0.571091119,0.516392756,0.6115117857,0.6115159739,NA,0.6115201622,0.5909894289,0.6213415758
,,Testing R2,0.531287950,0.504835983,0.500462765,0.485326720,0.471697792,0.480469183,0.477816810,0.393709712,0.4954454251,0.4954182927,NA,0.4954145437,0.478513171,0.4945720106,,,,Testing R2,0.649050946,0.615235128,0.620809670,0.604906937,0.582571074,0.578726274,0.576711732,0.499644,0.6171449632,0.6171282103,NA,0.6171114573,0.5841542276,0.6279924947
,Data Set 2,Training R2,0.984696527,0.782718916,0.934632659,0.744386761,0.458193383,0.958598733,0.928870334,0.391614094,0.7856096782,0.7854937952,NA,0.7855189955,0.7551772355,0.9398966407,,,Data Set 2,Training R2,0.992560283,0.846437025,0.958109205,0.819386804,0.567107048,0.972481377,0.951427587,0.496606684,0.8510999911,0.8510174619,NA,0.8510321482,0.8274287896,0.962128573
,,Validation R2,0.535870938,0.614897392,0.526383389,0.511645093,0.505994709,0.441252454,0.450146040,0.400304083,0.5156637526,0.5156669211,NA,0.5157106271,0.515955982,0.5267437689,,,,Validation R2,0.638651556,0.696428272,0.626581059,0.612047880,0.601250607,0.566040107,0.579790086,0.50776499,0.6172622338,0.6172245397,NA,0.6172245397,0.6122070329,0.6287798831
