ref_data,p_value,r2,kb,Height_R2,BMI_R2,SBP_R2,DBP_R2,HDL_R2,LDL_R2,TC_R2,TG_R2
ukbb,5e-8,0.001,50,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019197921544523305
ukbb,5e-8,0.001,100,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.001,250,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.001,500,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.001,1000,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.01,50,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019197921544523305
ukbb,5e-8,0.01,100,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.01,250,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.01,500,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.01,1000,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.05,50,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019197921544523305
ukbb,5e-8,0.05,100,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.05,250,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.05,500,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.05,1000,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.1,50,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019197921544523305
ukbb,5e-8,0.1,100,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.1,250,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.1,500,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.1,1000,5.870213384662204e-05,0.0,0.0,0.0,0.02685799479701186,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.2,50,5.870213384662204e-05,0.0,0.0,0.0,0.025453411083490123,0.0014982878378505167,0.0,0.019197921544523305
ukbb,5e-8,0.2,100,5.870213384662204e-05,0.0,0.0,0.0,0.025453411083490123,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.2,250,5.870213384662204e-05,0.0,0.0,0.0,0.025453411083490123,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.2,500,5.870213384662204e-05,0.0,0.0,0.0,0.025453411083490123,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.2,1000,5.870213384662204e-05,0.0,0.0,0.0,0.025453411083490123,0.0014982878378505167,0.0,0.019109380813821557
ukbb,5e-8,0.5,50,5.870213384662204e-05,0.0,0.0,0.0,0.02370045369099875,0.0014982878378505167,0.0,0.019226484353413714
ukbb,5e-8,0.5,100,5.870213384662204e-05,0.0,0.0,0.0,0.02370045369099875,0.0014982878378505167,0.0,0.018820945694596098
ukbb,5e-8,0.5,250,5.870213384662204e-05,0.0,0.0,0.0,0.02370045369099875,0.0014982878378505167,0.0,0.018820945694596098
ukbb,5e-8,0.5,500,5.870213384662204e-05,0.0,0.0,0.0,0.02370045369099875,0.0014982878378505167,0.0,0.018820945694596098
ukbb,5e-8,0.5,1000,5.870213384662204e-05,0.0,0.0,0.0,0.02370045369099875,0.0014982878378505167,0.0,0.018820945694596098
ukbb,5e-7,0.001,50,0.00032317925990051527,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.020124867442926964
ukbb,5e-7,0.001,100,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.019416355898892568
ukbb,5e-7,0.001,250,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.001,500,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.001,1000,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.01,50,0.00032317925990051527,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.020124867442926964
ukbb,5e-7,0.01,100,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.019416355898892568
ukbb,5e-7,0.01,250,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.01,500,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.01,1000,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.05,50,0.00032317925990051527,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.020124867442926964
ukbb,5e-7,0.05,100,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.019416355898892568
ukbb,5e-7,0.05,250,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.05,500,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.05,1000,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.1,50,0.00032317925990051527,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.020124867442926964
ukbb,5e-7,0.1,100,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.019416355898892568
ukbb,5e-7,0.1,250,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.1,500,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.1,1000,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.02820877265821971,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.2,50,0.00032317925990051527,0.0008281268768720595,0.0,0.00017238518427679464,0.027884473918737496,0.0017444617726358747,2.283166855021612e-06,0.020124867442926964
ukbb,5e-7,0.2,100,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.027884473918737496,0.0017444617726358747,2.283166855021612e-06,0.019416355898892568
ukbb,5e-7,0.2,250,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.027884473918737496,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.2,500,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.027884473918737496,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.2,1000,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.027884473918737496,0.0017444617726358747,2.283166855021612e-06,0.02004045580682079
ukbb,5e-7,0.5,50,0.00032317925990051527,0.0008281268768720595,0.0,0.00017238518427679464,0.026690277812969992,0.0017444617726358747,2.283166855021612e-06,0.02011274242942555
ukbb,5e-7,0.5,100,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.026690277812969992,0.0017444617726358747,2.283166855021612e-06,0.019053601378859326
ukbb,5e-7,0.5,250,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.026690277812969992,0.0017444617726358747,2.283166855021612e-06,0.019053601378859326
ukbb,5e-7,0.5,500,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.026690277812969992,0.0017444617726358747,2.283166855021612e-06,0.019053601378859326
ukbb,5e-7,0.5,1000,0.00033115066549912103,0.0008281268768720595,0.0,0.00017238518427679464,0.026690277812969992,0.0017444617726358747,2.283166855021612e-06,0.019053601378859326
ukbb,5e-6,0.001,50,0.008517053173101622,0.008654912159976899,0.0011555049200552652,0.0005882543383175509,0.029956552050200907,0.00202005440183887,0.0030938493243830947,0.03212217452194647
ukbb,5e-6,0.001,100,0.008550948048565857,0.00879523655832922,0.0011555049200552652,0.0005882543383175509,0.029956552050200907,0.001969709445918011,0.0030938493243830947,0.029939221965822882
ukbb,5e-6,0.001,250,0.008550948048565857,0.009112970980160099,0.0011555049200552652,0.0005882543383175509,0.029956552050200907,0.0019679956966066245,0.0030938493243830947,0.03036132552529547
ukbb,5e-6,0.001,500,0.008550948048565857,0.009112970980160099,0.0011555049200552652,0.0005882543383175509,0.029956552050200907,0.0019679956966066245,0.0030938493243830947,0.03036132552529547
ukbb,5e-6,0.001,1000,0.008550948048565857,0.009112970980160099,0.0011555049200552652,0.0005882543383175509,0.029956552050200907,0.0019679956966066245,0.0030938493243830947,0.03036132552529547
ukbb,5e-6,0.01,50,0.008517053173101622,0.008654912159976899,0.0011555049200552652,0.0005882543383175509,0.029956552050200907,0.00202005440183887,0.0030938493243830947,0.03212217452194647
