,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
"#SNPs 5396
#EUR 10000
#EAS 1501
#AFR 3200
#SAS 250
h2 0.7",EurOnly,0.3866071668,0.09054604883,0.6615611722,0.02356667546,--,--,0.4732400325,0.03114832747,0.5487721162,0.01833245811,0.2737643131,0.06430269982,0.2206896018,0.0720908,0.2714125888,0.09140610874,0.1875675709,0.07902351195,0.2759669575,0.05263214001,-0.02081259231,0.1067899893
,EurEas,0.3509513518,0.09076853385,0.6307836636,0.03471575463,0.5978360002,0.0258909067,0.4974292745,0.07347726029,0.5752828675,0.03837395041,0.2737643131,0.06430269982,0.215082858,0.06731464213,0.258185005,0.08456611365,0.1875675709,0.07902351195,0.2759669575,0.05263214001,--,--
,EurEasAfr,0.3491410529,0.07710026446,0.6357104763,0.02627579401,0.6139086428,0.0225832261,0.5431072053,0.05833232766,0.6149753222,0.03510390048,0.2737643131,0.06430269982,0.2135798763,0.07278558692,0.2645362342,0.08036409677,0.1875675709,0.07902351195,0.2759669575,0.05263214001,--,--
"#SNPs 5396
#EUR 10000
#EAS 1501
#AFR 3200
#SAS 1000
h2 0.7",EurOnly,0.4646263086,0.0433724361,0.7168418993,0.02968538749,--,--,0.5380957468,0.02747260114,0.6229595283,0.02404774552,0.5068532923,0.02282763307,0.4427185156,0.02834169546,0.5072718893,0.01110911666,0.4471518045,0.01976942805,0.57547993,0.02858102017,0.04183003939,0.04651735917
,EurEas,0.4511893428,0.04171560845,0.6368985759,0.06367591563,0.6486018644,0.02436805634,0.5598713793,0.02844550915,0.6208887806,0.0233851233,0.5068532923,0.02282763307,0.4415812663,0.02766926109,0.5327635281,0.01792229554,0.4471518045,0.01976942805,0.57547993,0.02858102017,--,--
,EurEasAfr,0.4487670533,0.03966431122,0.6115105515,0.07092276957,0.6599114804,0.02234912318,0.5945268357,0.03382808643,0.6512694987,0.02739060351,0.5068532923,0.02282763307,0.4369793866,0.0314871678,0.5370277618,0.02161857625,0.4471518045,0.01976942805,0.57547993,0.02858102017,--,--
